"","onlyClusterGenes"
"342","C14orf180"
"343","C14orf28"
"344","C14orf39"
"345","C14orf93"
"346","C15orf38-AP3S2"
"347","C15orf40"
"348","C15orf41"
"349","C15orf48"
"350","C15orf61"
"351","C15orf62"
"352","C15orf65"
"353","C16orf45"
"354","C16orf54"
"355","C16orf58"
"356","C16orf70"
"357","C16orf72"
"358","C16orf74"
"359","C16orf78"
"360","C16orf86"
"361","C16orf87"
"362","C16orf89"
"363","C16orf91"
"364","C16orf92"
"365","C16orf95"
"366","C17orf107"
"367","C17orf113"
"368","C17orf47"
"369","C17orf49"
"370","C17orf50"
"371","C17orf58"
"372","C17orf64"
"373","C17orf67"
"374","C17orf75"
"375","C17orf78"
"376","C17orf80"
"377","C17orf98"
"378","C17orf99"
"379","C18orf21"
"380","C18orf25"
"381","C18orf32"
"382","C18orf54"
"383","C18orf63"
"384","C19orf12"
"385","C19orf24"
"386","C19orf25"
"387","C19orf33"
"388","C19orf38"
"389","C19orf44"
"390","C19orf47"
"391","C19orf53"
"392","C19orf54"
"393","C19orf57"
"394","C19orf66"
"395","C19orf67"
"396","C19orf70"
"397","C19orf71"
"398","C19orf81"
"399","C19orf84"
"400","C1orf100"
"401","C1orf105"
"402","C1orf109"
"403","C1orf112"
"404","C1orf115"
"405","C1orf122"
"406","C1orf127"
"407","C1orf141"
"408","C1orf146"
"409","C1orf158"
"410","C1orf159"
"411","C1orf162"
"412","C1orf174"
"413","C1orf185"
"414","C1orf189"
"415","C1orf194"
"416","C1orf198"
"417","C1orf210"
"418","C1orf216"
"419","C1orf21"
"420","C1orf226"
"421","C1orf232"
"422","C1orf35"
"423","C1orf43"
"424","C1orf50"
"425","C1orf52"
"426","C1orf53"
"427","C1orf54"
"428","C1orf56"
"429","C1orf74"
"430","C1orf87"
"431","C1orf94"
"432","C20orf141"
"433","C20orf173"
"434","C20orf194"
"435","C20orf202"
"436","C20orf204"
"437","C20orf27"
"438","C20orf85"
"439","C20orf96"
"440","C21orf58"
"441","C21orf62"
"442","C21orf91"
"443","C22orf15"
"444","C22orf23"
"445","C22orf31"
"446","C22orf39"
"447","C22orf46"
"448","C2orf15"
"449","C2orf40"
"450","C2orf42"
"451","C2orf49"
"452","C2orf50"
"453","C2orf66"
"454","C2orf68"
"455","C2orf69"
"456","C2orf70"
"457","C2orf72"
"458","C2orf73"
"459","C2orf74"
"460","C2orf76"
"461","C2orf80"
"462","C2orf81"
"463","C2orf83"
"464","C2orf88"
"465","C2orf91"
