"","missingGenes"
"1325","NTAQ1"
"1326","NTSR2"
"1327","NUDT10"
"1328","NUDT11"
"1329","NUDT4B"
"1330","NUMA1"
"1331","NUMBL"
"1332","NUP210"
"1333","NUP42"
"1334","NUTM2A"
"1335","NUTM2B"
"1336","NUTM2D"
"1337","NUTM2E"
"1338","NUTM2F"
"1339","NUTM2G"
"1340","OAF"
"1341","OAZ3"
"1342","OBI1"
"1343","OBSCN"
"1344","ODR4"
"1345","OGFR"
"1346","OLFML2A"
"1347","OLIG1"
"1348","ONECUT3"
"1349","OR10G2"
"1350","OR10H1"
"1351","OR10T2"
"1352","OR10X1"
"1353","OR11H12"
"1354","OR14A16"
"1355","OR14C36"
"1356","OR14L1P"
"1357","OR1E2"
"1358","OR1J1"
"1359","OR1R1P"
"1360","OR2A4"
"1361","OR2AJ1"
"1362","OR2AK2"
"1363","OR2B2"
"1364","OR2D2"
"1365","OR2G3"
"1366","OR2H1"
"1367","OR2M2"
"1368","OR2T12"
"1369","OR2T29"
"1370","OR2T3"
"1371","OR2T33"
"1372","OR2T34"
"1373","OR2T35"
"1374","OR4A5"
"1375","OR4C15"
"1376","OR4C5"
"1377","OR4D9"
"1378","OR4P4"
"1379","OR4X1"
"1380","OR4X2"
"1381","OR51M1"
"1382","OR51V1"
"1383","OR52B2"
"1384","OR52E2"
"1385","OR52E5"
"1386","OR52N5"
"1387","OR56B2P"
"1388","OR56B4"
"1389","OR5AS1"
"1390","OR5B21"
"1391","OR5D13"
"1392","OR5D16"
"1393","OR5K2"
"1394","OR5K4"
"1395","OR5M11"
"1396","OR5P2"
"1397","OR5R1"
"1398","OR5T1"
"1399","OR6B3"
"1400","OR6J1"
"1401","OR6T1"
"1402","OR7A5"
"1403","OR7C2"
"1404","OR7G2"
"1405","OR8D4"
"1406","OR8H1"
"1407","OR8J1"
"1408","OR8K5"
"1409","OR8U1"
"1410","OR9A2"
"1411","OR9Q1"
"1412","ORAI1"
"1413","OSBPL11"
"1414","OTOG"
"1415","OTOL1"
"1416","OTUD1"
"1417","OTUD4"
"1418","OVCH1"
"1419","OVGP1"
"1420","OXLD1"
"1421","P3R3URF-PIK3R3"
"1422","P3R3URF"
"1423","PABPC3"
"1424","PACC1"
"1425","PAGE1"
"1426","PAIP2"
"1427","PAK4"
"1428","PALB2"
"1429","PALM3"
"1430","PAPLN"
"1431","PARP10"
"1432","PARP4"
"1433","PASD1"
"1434","PBOV1"
"1435","PCARE"
"1436","PCDH11Y"
"1437","PCDH20"
"1438","PCDHB10"
"1439","PCDHB7"
"1440","PCDHB9"
"1441","PCGF1"
"1442","PCNT"
"1443","PCNX3"
"1444","PCOLCE"
"1445","PCSK4"
"1446","PDE3B"
"1447","PDILT"
"1448","PDZD2"
"1449","PDZD4"
"1450","PEDS1-UBE2V1"
"1451","PEDS1"
"1452","PER2"
"1453","PERCC1"
"1454","PERM1"
"1455","PF4V1"
"1456","PGAM4"
"1457","PGAP4"
"1458","PGAP6"
"1459","PHETA1"
"1460","PHF2"
"1461","PHLDA1"
"1462","PHLDA2"
"1463","PHLDB3"
"1464","PHLPP1"
"1465","PHRF1"
"1466","PIEZO2"
"1467","PILRB"
"1468","PINK1"
"1469","PINLYP"
"1470","PKD1"
"1471","PKD1L1"
"1472","PKDREJ"
"1473","PKHD1L1"
"1474","PKN1"
"1475","PLA2G2C"
"1476","PLAAT1"
"1477","PLAAT2"
"1478","PLAAT3"
"1479","PLAAT4"
"1480","PLAAT5"
"1481","PLCD3"
"1482","PLEKHG4"
"1483","PLEKHG4B"
"1484","PLET1"
"1485","PLIN4"
"1486","PLK5"
"1487","PLPP6"
"1488","PLPPR3"
"1489","PLSCR5"
"1490","PLXNA1"
"1491","PLXNB2"
"1492","PMIS2"
"1493","PNMA6A"
"1494","PNMA6E"
"1495","PNMA6F"
"1496","PNMA8B"
"1497","PNPLA2"
"1498","PNPLA7"
"1499","PODXL"
"1500","PODXL2"
"1501","POGLUT2"
"1502","POGLUT3"
"1503","POLG"
"1504","POLQ"
"1505","POLR1F"
"1506","POLR1G"
"1507","POLR1H"
"1508","POLR2J2"
"1509","POLR2J3"
"1510","POM121"
"1511","POMC"
"1512","POTEB"
"1513","POTEB2"
"1514","POTED"
"1515","POTEE"
"1516","POTEF"
"1517","POTEG"
"1518","POTEH"
"1519","POTEI"
"1520","POTEJ"
"1521","POTEM"
"1522","POU3F3"
"1523","POU4F1"
"1524","POU4F2"
"1525","POU5F1B"
"1526","POU6F2"
"1527","PPAN"
"1528","PPIAL4H"
"1529","PPIP5K1"
"1530","PPM1G"
"1531","PPP1R15A"
"1532","PPP1R26"
"1533","PPP1R2B"
"1534","PPP1R35"
"1535","PPP1R3F"
"1536","PPP1R3G"
"1537","PPP2R2D"
"1538","PPP4R3C"
"1539","PPP6R2"
"1540","PRAC1"
"1541","PRAC2"
"1542","PRAG1"
"1543","PRAM1"
"1544","PRAMEF1"
"1545","PRAMEF11"
"1546","PRAMEF12"
"1547","PRAMEF17"
"1548","PRAMEF19"
"1549","PRAMEF2"
"1550","PRAMEF20"
"1551","PRAMEF25"
"1552","PRAMEF26"
"1553","PRAMEF27"
"1554","PRAMEF4"
"1555","PRAMEF5"
"1556","PRAMEF9"
"1557","PRB1"
"1558","PRB2"
"1559","PRB3"
"1560","PRB4"
"1561","PRDM10"
"1562","PRDM12"
"1563","PRDM9"
"1564","PRG4"
"1565","PRH1"
"1566","PRH2"
"1567","PRKACG"
"1568","PRM3"
"1569","PRODH2"
"1570","PRORP"
"1571","PRPS1L1"
"1572","PRR11"
"1573","PRR12"
"1574","PRR14L"
"1575","PRR18"
"1576","PRR20A"
"1577","PRR20B"
"1578","PRR20C"
"1579","PRR20D"
"1580","PRR20E"
"1581","PRR20G"
"1582","PRR23B"
"1583","PRR33"
"1584","PRR36"
"1585","PRRC2C"
"1586","PRSS41"
"1587","PRSS45P"
"1588","PRY"
"1589","PRYP3"
"1590","PSCA"
"1591","PSD4"
"1592","PSG1"
"1593","PSG11"
"1594","PSG2"
"1595","PSG3"
"1596","PSG4"
"1597","PSG5"
"1598","PSG7"
"1599","PSG9"
"1600","PSME3IP1"
"1601","PTCD1"
"1602","PTGDR2"
"1603","PTPRH"
"1604","PVRIG"
"1605","PWWP3A"
"1606","PWWP3B"
"1607","QARS1"
"1608","QPRT"
"1609","QRICH2"
"1610","RAB40A"
"1611","RAB41"
"1612","RAB44"
"1613","RAB6C"
"1614","RAB6D"
"1615","RAD51AP2"
"1616","RADX"
"1617","RAI1"
"1618","RALGDS"
"1619","RALY"
"1620","RAMACL"
"1621","RARS1"
"1622","RASSF10"
"1623","RBBP8NL"
"1624","RBIS"
"1625","RBM20"
"1626","RBM28"
"1627","RBM43"
"1628","RBMXL1"
"1629","RBMXL2"
"1630","RBMXL3"
"1631","RBMY1A1"
"1632","RBMY1B"
"1633","RBMY1D"
"1634","RBMY1E"
"1635","RBMY1F"
"1636","RBMY1J"
"1637","REC8"
"1638","REEP6"
"1639","REPS2"
"1640","RESF1"
"1641","RFLNB"
"1642","RFPL3"
"1643","RFPL4A"
"1644","RFPL4AL1"
"1645","RFPL4B"
"1646","RGL4"
"1647","RGPD2"
"1648","RGS22"
"1649","RHOXF1"
"1650","RHOXF2"
"1651","RHOXF2B"
"1652","RIBC2"
"1653","RIF1"
"1654","RILP"
"1655","RIMBP3"
"1656","RIMBP3B"
"1657","RIMBP3C"
"1658","RIOX1"
"1659","RIPOR1"
"1660","RIPPLY3"
"1661","RNASE2"
"1662","RNASE9"
"1663","RNF113B"
"1664","RNF213"
"1665","RNF224"
"1666","RNF225"
"1667","RO60"
"1668","RP1L1"
"1669","RPEL1"
"1670","RPS27AP5"
"1671","RPS4Y1"
"1672","RPS4Y2"
"1673","RPTN"
"1674","RRP15"
"1675","RSKR"
"1676","RTL1"
"1677","RTL3"
"1678","RTL5"
"1679","RTL9"
"1680","RUNX3"
"1681","RUSF1"
"1682","RYBP"
"1683","RYR1"
"1684","RYR2"
"1685","TAF11L10"
"1686","TAF11L11"
"1687","TAF11L12"
"1688","TAF11L13"
"1689","TAF11L14"
"1690","TAF11L2"
"1691","TAF11L3"
"1692","TAF11L4"
"1693","TAF11L5"
"1694","TAF11L6"
"1695","TAF11L7"
"1696","TAF11L8"
"1697","TAF11L9"
"1698","TAF1L"
"1699","TAF3"
"1700","TAF4"
"1701","TAF7"
"1702","TAFA1"
"1703","TAFA2"
"1704","TAFA3"
"1705","TAFA4"
"1706","TAFA5"
"1707","TAMALIN"
"1708","TANC2"
"1709","TANGO6"
"1710","TARS1"
"1711","TARS3"
"1712","TAS2R13"
"1713","TAS2R14"
"1714","TAS2R19"
"1715","TAS2R9"
"1716","TASOR"
"1717","TASOR2"
"1718","TATDN2"
"1719","TBC1D10B"
"1720","TBC1D26"
"1721","TBC1D28"
"1722","TBC1D3"
"1723","TBC1D3B"
"1724","TBC1D3C"
"1725","TBC1D3D"
"1726","TBC1D3E"
"1727","TBC1D3F"
"1728","TBC1D3G"
"1729","TBC1D3H"
"1730","TBC1D3I"
"1731","TBC1D3K"
"1732","TBC1D3L"
"1733","TBL1Y"
"1734","TBPL2"
"1735","TBX1"
"1736","TCEAL2"
"1737","TCEAL6"
"1738","TCERG1"
"1739","TCFL5"
"1740","TCHH"
"1741","TCHHL1"
"1742","TCOF1"
"1743","TCTA"
"1744","TDRD15"
"1745","TDRD6"
"1746","TEAD3"
"1747","TEKT4"
"1748","TEP1"
"1749","TEPP"
"1750","TERF1"
"1751","TET1"
"1752","TEX13A"
"1753","TEX13C"
"1754","TEX13D"
"1755","TEX15"
"1756","TEX53"
"1757","TEX54"
"1758","TEX55"
"1759","TFB1M"
"1760","TFDP3"
"1761","TGFBR3L"
"1762","TGIF2LX"
"1763","TGIF2LY"
"1764","TGOLN2"
"1765","THAP11"
"1766","THBD"
"1767","THRSP"
"1768","THSD1"
"1769","THSD7A"
"1770","THUMPD3"
"1771","TICAM1"
"1772","TICRR"
"1773","TIGD5"
"1774","TIMM23B"
"1775","TJP2"
"1776","TJP3"
"1777","TLCD3A"
"1778","TLCD3B"
"1779","TLCD4-RWDD3"
"1780","TLCD4"
"1781","TLCD5"
"1782","TLE5"
"1783","TMDD1"
"1784","TMED8"
"1785","TMEM121"
"1786","TMEM131"
"1787","TMEM139"
"1788","TMEM158"
"1789","TMEM207"
"1790","TMEM225"
"1791","TMEM229A"
"1792","TMEM232"
"1793","TMEM271"
"1794","TMEM275"
"1795","TMEM37"
"1796","TMEM51"
"1797","TMEM59L"
"1798","TMEM88B"
"1799","TMIE"
"1800","TMIGD2"
"1801","TMOD3"
"1802","TMPRSS9"
"1803","TNFRSF10A"
"1804","TNFRSF10C"
"1805","TNFRSF10D"
"1806","TNFRSF13C"
"1807","TNFSF9"
"1808","TNP2"
"1809","TNRC18"
"1810","TNRC6A"
"1811","TNRC6C"
"1812","TOGARAM1"
"1813","TONSL"
"1814","TOP1"
"1815","TOPAZ1"
"1816","TP53TG3"
"1817","TP53TG3B"
"1818","TP53TG3C"
"1819","TP53TG3D"
"1820","TP53TG3E"
"1821","TP53TG3F"
"1822","TPBGL"
"1823","TPRG1"
"1824","TPRN"
"1825","TPTE"
"1826","TPTE2"
"1827","TPTEP2-CSNK1E"
"1828","TRAPPC12"
"1829","TREML2"
"1830","TRIM31"
"1831","TRIM48"
"1832","TRIM49B"
"1833","TRIM51"
"1834","TRIM54"
"1835","TRMT10C"
"1836","TRMT44"
"1837","TRPM5"
"1838","TRPV6"
"1839","TSBP1"
"1840","TSKS"
"1841","TSNARE1"
"1842","TSPOAP1"
"1843","TSPY1"
"1844","TSPY2"
"1845","TSPY3"
"1846","TSPY4"
"1847","TSPY8"
"1848","TSPYL2"
"1849","TSPYL6"
"1850","TSSK1B"
"1851","TTC16"
"1852","TTC19"
"1853","TTC24"
"1854","TTF1"
"1855","TTF2"
"1856","TTLL11"
"1857","TTLL8"
"1858","TTN"
"1859","TUBA4B"
"1860","TUBB8B"
"1861","TUBGCP6"
"1862","TUG1"
"1863","TULP2"
"1864","TUSC1"
"1865","TWIST1"
"1866","TXLNG"
"1867","TXNDC2"
"1868","TYR"
"1869","S100PBP"
"1870","SAA4"
"1871","SAGE1"
"1872","SAMD9"
"1873","SARS1"
"1874","SASH1"
"1875","SAV1"
"1876","SBK3"
"1877","SBNO2"
"1878","SCAF1"
"1879","SCAF4"
"1880","SCART1"
"1881","SCGB1D4"
"1882","SCGB2B2"
"1883","SCN10A"
"1884","SCN11A"
"1885","SCNN1D"
"1886","SCRIB"
"1887","SCT"
"1888","SCTR"
"1889","SCYGR1"
"1890","SCYGR2"
"1891","SCYGR3"
"1892","SCYGR4"
"1893","SCYGR5"
"1894","SCYGR6"
"1895","SCYGR7"
"1896","SCYGR8"
"1897","SDK1"
"1898","SEC16A"
"1899","SEC24B"
"1900","SECISBP2"
"1901","SELENOK"
"1902","SELENOV"
"1903","SELPLG"
"1904","SEMG1"
"1905","SEMG2"
"1906","SEPTIN1"
"1907","SEPTIN10"
"1908","SEPTIN11"
"1909","SEPTIN12"
"1910","SEPTIN14"
"1911","SEPTIN2"
"1912","SEPTIN3"
"1913","SEPTIN4"
"1914","SEPTIN5"
"1915","SEPTIN6"
"1916","SEPTIN7"
"1917","SEPTIN8"
"1918","SEPTIN9"
"1919","SERINC1"
"1920","SETD1A"
"1921","SETD1B"
"1922","SETSIP"
"1923","SETX"
"1924","SH2B3"
"1925","SH2D5"
"1926","SH2D7"
"1927","SH3D21"
"1928","SHANK1"
"1929","SHANK3"
"1930","SHARPIN"
"1931","SHC2"
"1932","SHFL"
"1933","SHISA6"
"1934","SHISA8"
"1935","SHOC1"
"1936","SHROOM1"
"1937","SHROOM3"
"1938","SHROOM4"
"1939","SIGLEC11"
"1940","SIGLEC12"
"1941","SIGLEC6"
"1942","SIGLEC8"
"1943","SIPA1L3"
"1944","SKIDA1"
"1945","SLBP"
"1946","SLC12A2"
"1947","SLC19A1"
"1948","SLC22A18AS"
"1949","SLC24A1"
"1950","SLC25A52"
"1951","SLC26A8"
"1952","SLC2A4RG"
"1953","SLC2A7"
"1954","SLC35G3"
"1955","SLC35G4"
"1956","SLC35G5"
"1957","SLC37A4"
"1958","SLC38A10"
"1959","SLC39A14"
"1960","SLC39A4"
"1961","SLC40A1"
"1962","SLC45A4"
"1963","SLC49A3"
"1964","SLC49A4"
"1965","SLC4A1"
"1966","SLC4A2"
"1967","SLC4A5"
"1968","SLC5A8"
"1969","SLC66A1"
"1970","SLC66A2"
"1971","SLC66A3"
"1972","SLC6A16"
"1973","SLC6A18"
"1974","SLC7A13"
"1975","SLC9C2"
"1976","SLCO1B3-SLCO1B7"
"1977","SLCO4A1"
"1978","SLCO6A1"
"1979","SLFN11"
"1980","SLFN12"
"1981","SLFN12L"
"1982","SLITRK3"
"1983","SLK"
"1984","SLX4"
"1985","SMARCAL1"
"1986","SMC6"
"1987","SMCP"
"1988","SMIM38"
"1989","SMIM39"
"1990","SMIM40"
"1991","SMIM41"
"1992","SMIM42"
"1993","SMO"
"1994","SMPD1"
"1995","SMR3A"
"1996","SNAPC4"
"1997","SOAT2"
"1998","SOCS1"
"1999","SOCS7"
"2000","SOWAHA"
"2001","SOWAHC"
"2002","SOX1"
"2003","SOX12"
"2004","SOX13"
"2005","SOX17"
"2006","SOX18"
"2007","SOX2"
"2008","SOX4"
"2009","SP100"
"2010","SP110"
"2011","SP8"
"2012","SP9"
"2013","SPACA4"
"2014","SPACA6"
"2015","SPAG1"
"2016","SPAG17"
"2017","SPAG4"
"2018","SPAG8"
"2019","SPANXA1"
"2020","SPANXA2"
"2021","SPANXB1"
"2022","SPANXN2"
"2023","SPANXN3"
"2024","SPANXN5"
"2025","SPARCL1"
"2026","SPATA1"
"2027","SPATA12"
"2028","SPATA21"
"2029","SPATA31A1"
"2030","SPATA31A3"
"2031","SPATA31A5"
"2032","SPATA31A6"
"2033","SPATA31A7"
"2034","SPATA31D1"
"2035","SPATA31D3"
"2036","SPATA31D4"
"2037","SPATA31E1"
"2038","SPDYE1"
"2039","SPDYE11"
"2040","SPDYE13"
"2041","SPDYE14"
"2042","SPDYE15"
"2043","SPDYE16"
"2044","SPDYE17"
"2045","SPDYE2"
"2046","SPDYE21"
"2047","SPDYE2B"
"2048","SPDYE3"
"2049","SPDYE5"
"2050","SPDYE6"
"2051","SPDYE8"
"2052","SPDYE9"
"2053","SPEGNB"
"2054","SPEM3"
"2055","SPEN"
"2056","SPINK5"
"2057","SPN"
"2058","SPRING1"
"2059","SPRR3"
"2060","SPRR4"
"2061","SPRR5"
"2062","SPTA1"
"2063","SPTBN5"
"2064","SPZ1"
"2065","SRCAP"
"2066","SRCIN1"
"2067","SREBF2"
"2068","SRMS"
"2069","SRRD"
"2070","SRRM4"
"2071","SRRM5"
"2072","SRSF8"
"2073","SRY"
"2074","SSU72P8"
"2075","SSX2B"
"2076","STAB2"
"2077","STARD9"
"2078","STATH"
"2079","STH"
"2080","STIMATE-MUSTN1"
"2081","STING1"
"2082","STKLD1"
"2083","STPG2"
"2084","STRA8"
"2085","STRC"
"2086","STRIT1"
"2087","STX12"
"2088","STXBP5"
"2089","STYXL2"
"2090","SULF1"
"2091","SULT2B1"
"2092","SUMO4"
"2093","SUN2"
"2094","SUPT20HL1"
"2095","SUPT20HL2"
"2096","SYCE2"
"2097","SYNPO2L"
"2098","SYPL2"
"2099","UBE2O"
"2100","UBXN11"
"2101","UBXN2A"
"2102","UFL1"
"2103","UHRF1"
"2104","UMOD"
"2105","UNC13A"
"2106","UNCX"
"2107","UPK3BL1"
"2108","UPK3BL2"
"2109","UQCC3"
"2110","UQCRHL"
"2111","USP16"
"2112","USP17L1"
"2113","USP17L10"
"2114","USP17L11"
"2115","USP17L12"
"2116","USP17L13"
"2117","USP17L15"
"2118","USP17L17"
"2119","USP17L18"
"2120","USP17L19"
"2121","USP17L2"
"2122","USP17L20"
"2123","USP17L21"
"2124","USP17L22"
"2125","USP17L24"
"2126","USP17L25"
"2127","USP17L26"
"2128","USP17L27"
"2129","USP17L28"
"2130","USP17L29"
"2131","USP17L3"
"2132","USP17L30"
"2133","USP17L4"
"2134","USP17L5"
"2135","USP17L7"
"2136","USP17L8"
"2137","USP26"
"2138","USP29"
"2139","USP31"
"2140","USP35"
"2141","USP41"
"2142","USP51"
"2143","USP9Y"
"2144","USPL1"
"2145","UTF1"
"2146","UTP14C"
"2147","UTP3"
"2148","VARS1"
"2149","VCX"
"2150","VCX2"
"2151","VCX3A"
"2152","VCX3B"
"2153","VCY"
"2154","VCY1B"
"2155","VEZF1"
"2156","VHLL"
"2157","VN1R1"
"2158","VN1R2"
"2159","VN1R4"
"2160","VSIG10"
"2161","VSIG10L"
"2162","VWA5B2"
"2163","WARS1"
"2164","WASH6P"
"2165","WASHC1"
"2166","WASHC2C"
"2167","WDFY4"
"2168","WDR26"
"2169","WDR46"
"2170","WDR73"
"2171","WDR87"
"2172","WFDC12"
"2173","WFDC6"
"2174","WHAMM"
"2175","WIF1"
"2176","WNK2"
"2177","XKR3"
"2178","XKR5"
"2179","XKR8"
"2180","YARS1"
"2181","YBX2"
"2182","YEATS2"
"2183","YTHDC1"
"2184","YY2"
"2185","Z82190.2"
"2186","Z82206.1"
"2187","Z83844.2"
"2188","Z84488.1"
"2189","Z84492.2"
"2190","ZACN"
"2191","ZAN"
"2192","ZBED3"
"2193","ZBED6CL"
"2194","ZBTB17"
"2195","ZBTB3"
"2196","ZBTB4"
"2197","ZC2HC1A"
"2198","ZC3H11B"
"2199","ZC3H3"
"2200","ZC3H6"
"2201","ZC3H8"
"2202","ZC3HAV1"
"2203","ZCCHC3"
"2204","ZDHHC21"
"2205","ZFHX3"
"2206","ZFHX4"
"2207","ZFP36L2"
"2208","ZFP42"
"2209","ZFP57"
"2210","ZFP69"
"2211","ZG16B"
"2212","ZIC4"
"2213","ZIC5"
"2214","ZIM3"
"2215","ZMYM4"
"2216","ZMYND15"
"2217","ZNF107"
"2218","ZNF117"
"2219","ZNF132"
"2220","ZNF141"
"2221","ZNF219"
"2222","ZNF253"
"2223","ZNF274"
"2224","ZNF280C"
"2225","ZNF281"
"2226","ZNF284"
"2227","ZNF316"
"2228","ZNF320"
"2229","ZNF34"
"2230","ZNF37A"
"2231","ZNF384"
"2232","ZNF395"
"2233","ZNF408"
"2234","ZNF428"
"2235","ZNF440"
"2236","ZNF444"
"2237","ZNF45"
"2238","ZNF454"
"2239","ZNF469"
"2240","ZNF479"
"2241","ZNF484"
"2242","ZNF487"
"2243","ZNF491"
"2244","ZNF492"
"2245","ZNF497"
"2246","ZNF503"
"2247","ZNF512B"
"2248","ZNF518A"
"2249","ZNF519"
"2250","ZNF534"
"2251","ZNF541"
"2252","ZNF557"
"2253","ZNF578"
"2254","ZNF587"
"2255","ZNF587B"
"2256","ZNF594"
"2257","ZNF610"
"2258","ZNF625"
"2259","ZNF626"
"2260","ZNF628"
"2261","ZNF629"
"2262","ZNF646"
"2263","ZNF649"
"2264","ZNF658"
"2265","ZNF665"
"2266","ZNF676"
"2267","ZNF681"
"2268","ZNF697"
"2269","ZNF700"
"2270","ZNF705A"
"2271","ZNF705B"
"2272","ZNF705D"
"2273","ZNF716"
"2274","ZNF717"
"2275","ZNF722P"
"2276","ZNF723"
"2277","ZNF727"
"2278","ZNF728"
"2279","ZNF729"
"2280","ZNF735"
"2281","ZNF749"
"2282","ZNF768"
"2283","ZNF770"
"2284","ZNF781"
"2285","ZNF785"
"2286","ZNF786"
"2287","ZNF792"
"2288","ZNF800"
"2289","ZNF804A"
"2290","ZNF808"
"2291","ZNF813"
"2292","ZNF816-ZNF321P"
"2293","ZNF831"
"2294","ZNF835"
"2295","ZNF837"
"2296","ZNF839"
"2297","ZNF843"
"2298","ZNF845"
"2299","ZNF853"
"2300","ZNF860"
"2301","ZNF875"
"2302","ZNF878"
"2303","ZNF888"
"2304","ZNF91"
"2305","ZNF99"
"2306","ZNRD2"
"2307","ZP1"
"2308","ZP4"
"2309","ZSCAN5B"
"2310","ZSWIM9"
"2311","ZXDA"
"2312","ZXDB"
