"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"SYPL1",0.0696339574646725,0.0440629759447643,0.683918389674883,0.799872529448548,0.619587737673774,0.833256457564576,0.0255709815199082,0.367219995113464,-0.213668719890802,-0.344856276034473
"RANBP9",0.0224344872371073,-0.00579003324516358,0.924899187674491,0.981645072737116,0.981065466516859,0.990828427608566,0.0166444539919438,0.741913724883951,-0.00976296109170693,-0.00995138594202996
"CD4",-0.00972752165883414,-0.0114036842937836,0.960795124880755,0.952232039304135,0.916737393984265,0.912739121294934,-0.00167616263494946,0.172311375264556,0.00399827268933151,0.00436141551066709
"PLEKHG6",0.158430056429749,0.13998455221897,0.200793786064407,0.259701292236181,0.152853305231491,0.125816272965879,0.0184455042107794,0.11642679821274,0.0270370322656122,0.176882221975282
"QPCTL",-0.0280334800086119,-0.0814045931612902,0.89608477404834,0.640398540732853,0.771252947771292,0.243312929733356,-0.0533711131526783,1.90383474104117,0.527940018037936,0.684522528650992
"PPP5C",-0.0501666457639019,-0.0752980056559453,0.84156864147776,0.730571349999171,0.727756635149494,0.692861212517673,-0.0251313598920434,0.500957548772913,0.034895422631821,0.0479493019320296
"UBR7",0.271518772811243,0.23579046110594,0.0327167579915012,0.0679508750221207,0.00447807154505395,0.0144445380274573,0.0357283117053034,0.131586892999628,-0.00996646648240335,-2.22561573260511
"MAP4K5",0.188652636532999,0.202097029867096,0.286593873789988,0.230189724808653,0.120935332373342,0.185998890832302,-0.0134443933340972,-0.0712653349625756,-0.0650635584589596,-0.538002891149299
"ERCC1",0.0643065964413034,0.0458461180642764,0.759013840772352,0.821417940300601,0.950678125641383,0.982842405899655,0.018460478377027,0.287069747096273,-0.0321642802582724,-0.0338329865711095
"GPRC5A",-0.012003518825268,-0.0107814061423098,0.953739500667917,0.957470732227726,0.808876707168362,0.773157850616146,0.00122211268295819,-0.101812868438677,0.0357188565522156,0.0441585920767292
"HEBP1",0.0104757205035911,-0.00264034540444283,0.966139299714479,0.991640647652312,0.924047808007353,0.940268654202459,0.00783537509914825,0.747955722612328,-0.0162208461951063,-0.0175541200948093
"COX15",-0.039512679125853,-0.0551111092217802,0.843909077276938,0.756182708493504,0.927124028869172,0.481985201378962,-0.0155984300959272,0.394770246943876,0.44513882749021,0.480128670630135
"MS4A12",0.13984603560545,0.0485680211290365,0.573653444724549,0.858313186772287,0.205368171252395,0.895244991552015,0.0912780144764133,0.652703625678297,-0.68987682029962,-3.35921976659065
"XYLT2",0.1215090598672,0.123696586820186,0.431100609668372,0.394112114895267,0.116079623338697,0.036318083247363,-0.00218752695298556,-0.0180029946357609,0.0797615400913342,0.687127833440723
"FTSJ1",-0.0702343434154059,-0.095113032236904,0.759006354353287,0.635375508572617,0.427835171051533,0.603036373220875,-0.0248786888214981,0.354223982337976,-0.175201202169342,-0.409506309962157
"SCTR",-0.0238083507834288,-0.0294012866455596,0.904954409201632,0.869948862639036,0.884128119484892,0.870251769103164,-0.00559293586213084,0.234914879783427,0.0138763503817277,0.0156949542446544
"RALBP1",0.121721689709547,0.10964072715483,0.519120347924647,0.54788999584371,0.58869114686486,0.706972824942069,0.0120809625547169,0.0992506970905887,-0.118281678077209,-0.200923147404427
"SYT13",0.0639300049745157,0.0309916031250162,0.73025466360127,0.868657360682382,0.468830761869784,0.520903978601066,0.0329384018494995,0.515226017307987,-0.0520732167312823,-0.111070392487909
"SNAI2",-0.117226583510767,-0.142020847342674,0.655308843641793,0.547232711016926,0.341966863301688,0.166157592327573,-0.0247942638319073,0.211507177718184,0.175809270974115,0.514112008621763
"SLC7A9",-0.195743588712992,-0.192688710346068,0.146874123954619,0.144625064516343,0.610396533263484,0.102389369223561,0.00305487836692406,-0.0156065309061195,0.508007164039923,0.832257616739505
"RTF2",0.0598650561981585,0.037646085676515,0.761588043598072,0.847494381263975,0.178834817320741,0.386683496371095,0.0222189705216435,0.371150917291329,-0.207848679050354,-1.16223832788431
"RB1CC1",0.0217631771654427,0.0109563533694446,0.906181948442848,0.954624608470377,0.957770942601151,0.96615745688481,0.0108068237959981,0.496564619855138,-0.00838651428365877,-0.0087562838990316
