"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"AC010255",0.286241519524029,46,0.0199886256722352,0.149602725713908,0.00223343216912473,"0.3214","2.466","1.172","0.4754"
"CEP19",0.262094140117595,57,0.0172500448974509,0.137509066968639,0.00225693451075382,"0.2975","0.6526","2.877","4.408"
"TMEM216",0.296899945329011,54,0.00871423913739365,0.0932131247059109,0.00245559235285263,"0.3573","4.804","2.095","0.4362"
"MARCHF4",0.211884365704193,91,0.0143469333621397,0.123778436019013,0.00246036300180007,"0.2198","1.277","1.008","0.7891"
"COPZ2",0.288123966938208,57,0.00884892851075903,0.0939830210221366,0.00288715992163843,"0.2895","76.96","3.987","0.05181"
"SLC14A2",-0.302057203309169,118,6.75663427283292e-05,0.00430872005160316,0.00306923469359767,"0.7657","1.915","231.1","120.7"
"DZIP1",0.328049305677967,110,2.97026382165317e-05,0.00245034838613415,0.00318584158489426,"4.032","0.7195","454","112.6"
"FXYD6",0.218524513786323,68,0.0296474422448366,0.185994040771491,0.00337182856507947,"0.292","0.3563","1.697","4.763"
"FNDC11",0.391756938147893,98,2.58158770135425e-06,0.000522806395844524,0.00360226566277544,"0.2144","28744223568","53512","0.000001862"
"RAB3B",0.337936748384314,42,0.00881444631995477,0.0938162589139504,0.00363388450510342,"0.7593","0.3381","3.119","4.108"
"SAV1",-0.462310289713204,42,0.000339512587548287,0.0127837578819061,0.00369168558392266,"26.44","0.4089","210.5","7.962"
"RASL11B",0.268024087971236,54,0.0178868479864486,0.140048225666102,0.00385104375999672,"0.3691","1.36","3.617","2.659"
"ZHX2",0.25515379354568,97,0.00231766105517712,0.0420999619065265,0.00387843000306888,"0.5275","1.105","27.83","25.17"
"PHLDB1",0.212276891739061,111,0.00663667271441858,0.0798211695812815,0.00390904123408011,"0.3653","0.3902","8.775","22.49"
"SLC8A3",0.321375941281139,94,0.00015953050134752,0.00776209121166861,0.00395178507327334,"0.2817","41.35","52.84","1.278"
"CADPS2",0.317122014778529,100,0.000120410672339607,0.00631169240067666,0.00401620354313777,"0.9639","1.841","134.1","72.84"
"CD84",0.210801756689773,112,0.00676868758747304,0.0804405647786447,0.00402108072961227,"0.8822","0.2032","2.939","3.332"
"ADARB2",-0.232886115586276,94,0.00621711069527367,0.0764198074140499,0.00404030477001657,"0.2333","2.498","8.669","3.47"
"SORCS1",0.239623107181709,102,0.00333486817638223,0.0523860948545746,0.0041596853087372,"2.17","0.2852","9.298","4.285"
"CMTR1",-0.224340089756499,65,0.0291568475628591,0.183823278135965,0.00417484601199457,"0.2876","0.7646","1.288","1.684"
"APCDD1",-0.285776460669985,91,0.000958860999686254,0.024732342411873,0.004233923246467,"2.571","0.5643","98.76","38.41"
"PROKR1",0.228824857796088,88,0.00934167291935429,0.0968148757741655,0.00427580940375035,"0.3457","1.088","4.651","4.276"
"SPIRE1",-0.179326110991346,101,0.0288525930110778,0.182761197805501,0.00433493573392182,"0.3691","0.4275","2.361","5.522"
"TNFRSF11B",0.293120144845279,98,0.000435120804263638,0.0146533042083031,0.00435308343409915,"0.3987","1.64","48.78","29.74"
"DNAH11",0.238842344345449,137,0.000676404875171482,0.0196827251637278,0.00436378550189685,"1.764","0.6547","58.89","33.38"
"BGLAP",0.172848324290045,81,0.0598526323718544,0.271638869995339,0.00438890332107357,"0.557","0.2558","0.5864","1.053"
"PIGM",0.406023639493257,90,3.07958914968514e-06,0.000570439183401885,0.00438985662915052,"1060","0.2372","6626","6.253"
"FZD1",0.235479403452934,65,0.0220403436191368,0.158007683721206,0.00440287043470945,"0.3311","0.3504","0.9664","2.758"
"IQGAP2",-0.187719958852643,123,0.011433322857423,0.108925477648659,0.00445810023478941,"0.2813","0.6555","3","4.576"
"FBXO24",0.237595399192567,102,0.0036117445902354,0.0552302086012936,0.00448575621871825,"0.2382","17.87","16.41","0.9183"
"UBR7",0.271518772811243,93,0.00151074312892826,0.0327167579915012,0.00448618061319804,"0.2459","1.165","2.975","2.554"
"PDGFD",0.365209363551468,77,0.000106934971954589,0.00574382612799811,0.00453111740877724,"7211","0.3726","327.9","0.04548"
"ANKRD35",0.48907584595642,113,2.7673169376921e-10,1.03677529070635e-06,0.00457327932146402,"236.4","17.77","54778808","231745"
"ATP1B2",0.273686007899945,44,0.0297453815031917,0.186256085221101,0.00460337532221195,"0.6024","0.2997","1.752","2.909"
"PRODH",-0.207088392075007,110,0.00838836066548282,0.0914954902957204,0.00463987024432131,"0.4217","0.424","3.158","7.448"
"SLC26A3",-0.255208483653512,107,0.00135945679989927,0.0304982329390575,0.00465645455645275,"0.672","0.858","25.74","30.01"
"CYP20A1",0.153014093120531,96,0.0691955347126103,0.292762361152789,0.00467476444545351,"0.3306","0.2221","0.5603","1.695"
"COMT",-0.279273743875897,95,0.000970731533662731,0.0249526290968605,0.00476449053232672,"0.5025","3.685","23.05","6.254"
"RNF144B",0.22144294073564,73,0.0222717968289269,0.158407758556383,0.0047654890044206,"0.4487","0.2574","0.7609","1.696"
"RASGEF1B",0.341884091737594,67,0.000733880646458771,0.0208485514791683,0.00477136299435028,"70.48","0.2547","51.09","0.7249"
"ARHGEF6",0.3053335833444,88,0.000523614254020374,0.0165197541278933,0.00493908462298321,"37.92","0.2325","221.4","5.837"
"OSBP2",-0.360784269690626,100,1.21589161749174e-05,0.00135980237162174,0.00496176494351477,"1.694","3.568","831.9","233.1"
"OPLAH",0.29192727458942,106,0.000265838407961302,0.0108431499369968,0.004988081698351,"0.3488","6.598","65.95","9.995"
"NAGPA",-0.293615293139606,109,0.000199154234951017,0.00888251596719031,0.00504790929876567,"0.9441","4.479","108.1","24.14"
"TPPP2",0.244714337999197,78,0.00896806112949142,0.0945780183578877,0.00511568263669104,"0.2623","3.738","3.419","0.9147"
"OR6B1",0.228218435630812,99,0.00590281429873835,0.073995148417594,0.00517509527086637,"0.2857","2.251","0.509","0.2262"
"RXFP3",0.245802902514564,88,0.00523592340899885,0.0693418696649005,0.00518739107164912,"0.9308","2.217","19.78","8.921"
"SPRN",-0.312660360994265,69,0.00171808060098929,0.0357611631555683,0.00528342245989305,"1.452","1.267","32.6","22.46"
"CYP11A1",-0.256408896140036,117,0.00075742099727022,0.0213304617969422,0.00543108723736996,"0.3256","15.56","40.62","2.611"
"DNAI2",0.202355226362677,115,0.00842098173138653,0.0915217747472805,0.00550405298447038,"0.4044","0.6424","5.123","7.974"
"SPEGNB",-0.530720961773851,71,6.65022024419149e-08,3.83308463767129e-05,0.00550624198984193,"22.55","11.51","803414","35632"
"CCNE2",0.161046878463563,72,0.0988279728393088,0.351885578946618,0.0055264861968099,"0.255","0.4058","0.7183","1.77"
"PCDH11X",0.452340642929788,99,4.84660247958648e-08,3.47715487663728e-05,0.00556064864214972,"21.59","0.2755","1787","82.77"
"FGFR2",0.234611114413338,69,0.0186491669109328,0.143615835214408,0.00559079776769583,"0.803","0.2541","3.257","4.055"
"TM4SF4",-0.257756843062384,88,0.00341218697940313,0.0530997238560076,0.00563185567944883,"1.472","0.345","6.91","4.693"
"MYO5C",0.281321115599249,124,0.000141294572060174,0.00710550488890524,0.00577334410195877,"0.4913","71.21","407.5","5.723"
"AFF2",0.218493561730534,108,0.00586316341497392,0.0737744474700245,0.00581323511241079,"0.2037","1.118","0.8282","0.7408"
"CHRNE",0.257791803635556,97,0.00208620202639608,0.0394247459868494,0.00614524076786971,"3.781","0.2652","37.21","9.841"
"MAPK10",0.264837236955091,82,0.00371281861072539,0.0563850960949565,0.00615274120181949,"3.523","0.2597","3.981","1.13"
"PSORS1C2",0.218253020943966,79,0.0189778294541366,0.145251150255205,0.00619263468867691,"0.2723","17.62","2.426","0.1377"
"NEXN",0.159619291048003,88,0.0698066087064181,0.293937015474679,0.00624815452413186,"0.2317","0.5777","1.455","2.52"
"SNX11",0.280418956805644,77,0.00293179079556448,0.0483943320715536,0.00627844482361144,"0.8206","0.6266","6.76","8.238"
"ZBTB16",0.218325949183291,82,0.0167567919320809,0.134966789263046,0.00638401654537295,"1.385","0.2301","3.215","2.322"
"STRIP2",0.19252265992974,80,0.0372712316084185,0.209979953715699,0.00643262245962011,"0.2332","2.794","1.039","0.3718"
"WDFY3",-0.259446473526425,107,0.0011286864882278,0.0274585969360095,0.00647623737995568,"0.8543","1.089","20.28","18.62"
"SCN5A",0.260340728461643,118,0.00059391352268336,0.0178883979625804,0.00654918926523865,"0.3924","9.887","100.1","10.13"
"CARM1",-0.199443865753447,64,0.0543741164130668,0.257444171484232,0.00658624460160005,"0.6944","0.2696","1.273","1.834"
"NMNAT1",0.275755311230929,86,0.00196303080474207,0.0382051683634606,0.00658844638826976,"4.559","0.25","39.27","8.614"
"EXOC6",0.128699991659064,88,0.143757137325905,0.429387877495636,0.00659249852656139,"0.2244","0.3371","0.3901","1.157"
"NIM1K",0.374570300993035,77,7.079528641296e-05,0.00445772337052361,0.00663133006187717,"16.43","0.4583","665.8","40.53"
"ASB15",0.219872303398031,99,0.00799105624428937,0.0887513861205671,0.00670233768564634,"0.228","9.562","11.9","1.245"
"STEAP2",0.195993952410199,66,0.0547583777890131,0.258388502016722,0.00672621609987086,"0.3172","1.954","0.6316","0.3233"
"ACP3",0.164039887046897,107,0.0395070982695211,0.216961965355833,0.00683576578160717,"0.2439","0.6278","3.54","5.639"
"TCF15",-0.37150846738213,39,0.00561346204839307,0.0719617983380826,0.00684127782383936,"3.212","0.3668","9.324","2.903"
"NTAN1",0.207361126981866,71,0.0348573243626389,0.202506140078229,0.00685246082339757,"1.738","0.3005","3.106","1.787"
"MTFMT",0.166955900862852,113,0.0312022598680548,0.190933877657276,0.00690844909437914,"0.3682","0.7123","3.654","5.13"
"CCT6A",-0.229958278159815,54,0.0421894540681252,0.224521008048623,0.00693766870939048,"2.542","0.3939","2.92","1.149"
"ACVRL1",0.240217894476219,91,0.00550543255934157,0.0713089129942029,0.0069951109439639,"8.138","0.237","24.12","2.964"
"TIMM22",0.307082811913064,64,0.00305514651584811,0.0496577285103034,0.00705892783569674,"0.283","46.36","16.86","0.3637"
"COPA",0.268665828576106,78,0.00411714765684168,0.0599607140771909,0.00711744748311149,"0.6199","0.2366","3.42","5.517"
"RHOF",0.286510925447303,58,0.00862146097094931,0.0929505137486664,0.00721048341588814,"0.3024","1.439","0.7089","0.4926"
"RAI14",0.190169982118208,120,0.0113989646143098,0.108736399560819,0.00724356666020332,"0.522","0.6913","9.157","13.25"
"KDM4B",-0.266940303649657,101,0.00114084220728209,0.027466466567084,0.00725299234257676,"0.6797","0.5404","11.89","17.49"
"AAAS",0.258006178387603,79,0.00554966696218811,0.0715110138395108,0.00732118473315038,"0.393","2.712","4.976","1.835"
"GPAA1",0.215233640741945,100,0.00905864747906846,0.0951316686204064,0.00742270130593943,"0.7998","0.9631","19.94","20.7"
"NRIP3",0.183003604348671,50,0.120310586646894,0.390395215073397,0.00746584104784913,"0.3491","0.4109","0.7874","1.916"
"FAM229A",0.267605480616365,69,0.00728976992910103,0.083520253943049,0.00753726165353356,"0.4194","963.6","3.273","0.003397"
"GLRA4",0.318913835309359,86,0.000343214743462082,0.012826474178361,0.00757098951179062,"2.635","0.2741","21.73","8.245"
"MSANTD4",0.36478620375267,55,0.0011394033239856,0.027466466567084,0.00759107020093283,"143.9","0.3712","26.94","0.1872"
"TCTEX1D4",0.350515488727861,82,0.000122892548048823,0.0063946796009016,0.00765801228481575,"0.7065","4839","1095","0.2262"
"WDR89",0.226984292006651,103,0.0052042811814742,0.0693046050485136,0.00772523618755226,"24.92","0.2578","13.55","0.5437"
"TRIM46",0.331972016261039,65,0.00124696949743513,0.0288380939638317,0.00773137302891507,"10.68","0.2554","14.55","1.362"
"SFT2D1",0.236158954657243,65,0.0216599066222573,0.156809352966738,0.00773705004389816,"0.3826","0.2916","1.006","2.63"
"TOGARAM2",0.25896328126284,120,0.000569954055232571,0.017443141243448,0.00777205420536109,"0.2145","1432490","203.9","0.0001423"
"PACRGL",0.236315622453012,84,0.00876097818827607,0.0934462769605019,0.00779517332914698,"0.7966","0.2446","2.257","2.833"
"PPP1R16A",0.231473672440183,103,0.00438055309399736,0.0621656900252314,0.00781898143605206,"8.717","0.2081","6.925","0.7944"
"ANGPTL8",-0.16192301860734,107,0.0421236033772124,0.2242502025616,0.00785155394868392,"0.6468","0.2337","1.519","2.349"
"NDUFV1",0.266898361579534,67,0.00838881647312958,0.0914954902957204,0.00785167456566763,"0.2826","4.76","5.712","1.2"
"C11orf53",0.356525593514148,105,9.33852264042353e-06,0.00117602605285199,0.00792611258835448,"1.756","23.65","4015","169.8"
"NAA11",0.379628730558346,77,5.64308629872162e-05,0.0038439677851201,0.00794978720483251,"25.09","0.2742","299.8","11.95"
"SNRNP35",0.240234852857159,64,0.0204865339359027,0.151930582286935,0.0079752089188334,"0.2864","1.287","0.649","0.5042"
"DLC1",0.292548314458301,119,0.000106252621344338,0.00573312905674445,0.00799216191337808,"79.35","0.1985","40.68","0.5126"
"CFTR",0.31812105657994,116,3.17851420418484e-05,0.00256092547655452,0.00801705274277522,"40.54","0.3009","2748","67.79"
"MYF5",0.182721062375004,68,0.068995261159525,0.292327674225796,0.00805597579425114,"0.5273","0.2854","1.132","2.147"
"MCOLN3",-0.287790163699271,105,0.00034689272359042,0.0129316775018061,0.0080759782005064,"0.8771","1.616","29.45","18.22"
"PPP1R14A",0.226992812328078,58,0.0374290494548303,0.210473446577894,0.00807688193131976,"0.5117","0.334","0.9662","1.888"
"SGCZ",0.19454489194708,55,0.0827052917471591,0.3197681894022,0.0080786224662855,"0.2721","0.3429","0.5236","1.527"
"HADHB",-0.161914855173382,93,0.0585010495683815,0.268014495328104,0.00811248555570289,"0.2822","0.2654","0.5923","2.099"
"CACNG4",0.274517856594742,53,0.016309171877755,0.133411162532771,0.00818443015460391,"0.3662","3.11","4.518","1.453"
"TBCB",-0.178074323834337,72,0.0679895791619395,0.289214099671012,0.00818484716789802,"0.5196","0.2476","0.7653","1.473"
"PCDH11Y",0.351066996108236,98,2.51725304377464e-05,0.00217883227803075,0.00819852161531704,"1.654","0.3738","64.94","39.25"
"PLSCR3",0.197298832404788,76,0.0376139535435749,0.211055941914672,0.00822447765667958,"0.5974","0.2612","1.28","2.142"
"PRCC",0.207535896148377,73,0.0321810982954005,0.194070800424496,0.00827113075826751,"0.9402","0.2428","3.669","3.903"
"SLC37A4",0.181879723068087,91,0.0355764981817481,0.204428451591901,0.00828801250529195,"0.4815","0.2814","2.277","4.729"
"SPPL2C",0.364389139006054,109,3.89726930578414e-06,0.000663687247914558,0.00829588369380082,"30.18","1.773","7370","244.2"
"CNPPD1",0.164656264444215,91,0.0570787828094688,0.264333324840142,0.00830411876456648,"0.2424","0.6419","0.7987","1.244"
"E2F4",0.234012846188766,66,0.0218259693156223,0.157630831886224,0.00830745485988434,"0.2811","0.2533","0.3188","1.134"
"BPNT1",-0.2355173163364,62,0.0254236220864282,0.171775654006859,0.0084165498195691,"0.2979","1.016","1.313","1.293"
"EEF1D",0.193774950030759,106,0.0155006359219798,0.128821746841672,0.00843267866342495,"0.2126","0.7832","0.8383","1.07"
"IDH3A",0.275897841837104,55,0.013862362275713,0.121628431536203,0.00843862505446124,"1.996","0.2945","2.722","1.364"
"SLC4A1",-0.208892716252533,125,0.00454556617271641,0.0634854190720673,0.00845385854414737,"0.191","13.51","3.229","0.2389"
"AVPR1A",-0.168770603137858,105,0.0359071363028992,0.205461758165425,0.00846575382079496,"0.2364","0.2458","0.5204","2.117"
"TMF1",0.123940073862226,116,0.105050181552363,0.363659510451309,0.00847454014536309,"0.3044","0.2867","1.767","5.805"
"TMCO2",0.306051719173344,92,0.000375936511607228,0.0134457865464103,0.00849280434088396,"0.2918","29.08","50.16","1.725"
"KCND3",0.291054531056825,45,0.0193512000471591,0.146537182368229,0.00852775210462442,"0.9114","0.3543","4.079","4.476"
"EPDR1",0.180879776307323,79,0.0518656413624129,0.250890413640129,0.00854864129137017,"0.271","1.374","2.119","1.542"
"SAXO1",0.2525355691316,111,0.00124065852200582,0.0287809730817017,0.00855610328128732,"0.2834","7.537","13.97","1.854"
"RABGEF1",0.202725146155679,62,0.0543886458640783,0.257444171484232,0.00859401215465493,"0.7181","0.2592","1.228","1.71"
"ACTL7A",0.281957489631313,103,0.000518884012710021,0.0164439167136302,0.00866334213356801,"0.2279","24.05","9.456","0.3932"
"IRS1",0.164542157636585,104,0.0418041959134089,0.223297504293304,0.0086645163487407,"0.356","0.3072","2.384","6.697"
"MTHFS",0.342883778462429,76,0.000302512769110053,0.0117752113191773,0.00869900582790538,"800.8","1.016","74.83","0.09344"
"EMD",0.226672297810472,72,0.0201708609828312,0.150388319745626,0.00874349196604607,"0.2431","1.729","0.9826","0.5684"
"ADAD1",0.209333987143582,90,0.0161563324350698,0.132667834450387,0.00874856245711788,"0.2555","17.11","1.994","0.1166"
"GNRH1",0.300216185336462,74,0.00180534594100268,0.0367234122629183,0.00875123803409688,"0.8745","0.8296","27.36","31.28"
"ANKMY2",0.128167663050379,94,0.132118166476891,0.411113547097733,0.00875814057938468,"0.2722","0.2913","1.129","3.875"
"PGK1",0.174770378930944,61,0.100053991805048,0.354034724629909,0.008783286123576,"0.2635","1.084","0.878","0.8099"
"NME9",0.124195682291954,108,0.117305663900677,0.385513745442005,0.00878385417958653,"0.2181","1.021","1.185","1.16"
"JMJD7",0.256998516487564,89,0.00332218777143608,0.0522965398558205,0.00879512771229419,"0.5432","1.101","9.383","8.524"
"C14orf93",0.255846139059121,94,0.00264834839828342,0.0462555586732729,0.00881565534932174,"0.2772","2.09","6.634","3.173"
"AVIL",0.313279359147263,116,4.18599753269481e-05,0.00313656795124822,0.00882782139122563,"1.667","3.112","117.2","37.66"
"S100A4",0.30239930667592,40,0.0223404244188907,0.158594789361201,0.00887790076979266,"1.446","0.3126","1.476","1.021"
"ZBTB33",0.358531056321694,64,0.000543381569864998,0.016929555521823,0.00888714117184428,"298.2","0.349","275","0.9223"
"SLITRK1",0.166901078409328,57,0.129410791023741,0.406401951861228,0.00892167075506569,"0.3272","0.4098","0.6567","1.603"
"MIS18BP1",-0.189519869073656,129,0.00889809955249071,0.094238105931891,0.00897065487512375,"0.2508","3493","3.909","0.001119"
"METTL27",-0.200118988966875,97,0.0168876693949431,0.135698988500063,0.0089915702023023,"0.2399","7.579","3.223","0.4253"
"NOC4L",0.34446276318428,105,1.85223985290416e-05,0.00180756380120798,0.0089952888597902,"3.364","1.926","1865","554.5"
"LPIN1",0.250064556495564,111,0.0013849693255906,0.0307939915627608,0.00901302777538911,"0.2758","10.21","31.29","3.064"
"CDKAL1",0.352198221873628,90,5.18882629213061e-05,0.00363363321560137,0.0090537544479774,"129.4","0.2286","503.8","3.892"
"GSG1",0.358776746348971,112,4.04724184523685e-06,0.000673910736585771,0.00908010112081462,"0.4863","3444","2079","0.6037"
"FSCN3",0.265218951208662,100,0.00130020844642984,0.0297026277106671,0.00911747351858616,"0.4239","150201285","72.77","0.0000004845"
"BPIFB1",-0.136997675159829,124,0.0638262331826766,0.280518687516961,0.00919309579744192,"0.6559","0.2264","2.194","3.345"
"RIMS2",0.134153836206795,106,0.0937908078515072,0.342452921546247,0.00928058187675387,"0.2323","1.234","1.205","0.9766"
"PTK6",0.367169319893212,73,0.000150728688377212,0.00745485189445841,0.00939313141934394,"87.91","2.054","1824","20.75"
"ATP1A4",0.327313902471253,115,2.02881609176742e-05,0.00192429354121687,0.00944193233500694,"1.282","35.15","1415","40.27"
"USP2",0.226183159517035,92,0.00858065454140832,0.0927701451918815,0.0094660020632667,"0.2536","0.6285","5.529","8.797"
"KRT36",0.290904216157196,105,0.000298944145553765,0.0116762394991223,0.00946773396265527,"0.2303","72990994","163.2","0.000002235"
"NRDC",0.0978345310072987,102,0.230784786365508,0.543027289758755,0.00954632443994146,"0.2105","0.2122","0.3011","1.419"
"TMEM174",0.157757207341911,97,0.0596457581625064,0.271110504041044,0.00954940629483036,"0.8685","0.2138","0.9862","1.135"
"STAP1",0.260042492816307,77,0.0058042687181243,0.0732276202893438,0.00958848818217658,"2.088","0.6081","13.75","6.585"
"OTULINL",0.296140557458755,94,0.000502797001788353,0.0161954113079319,0.00959628761565903,"0.4904","4.092","98.46","24.06"
"CCDC81",0.256624147232542,122,0.000574858098680839,0.0175454653092282,0.00960159281607444,"93.45","0.2928","554.3","5.932"
"ARVCF",-0.371696605767806,110,2.23064505697726e-06,0.000464283983664739,0.00961645461626915,"219.9","0.2807","5708","25.96"
"IFT172",0.280311325623619,110,0.000359609042890866,0.0131682160023715,0.0096879131749912,"3.812","0.4245","40.61","10.65"
"CFAP45",0.39848949299434,104,8.2439062382168e-07,0.000237583036319071,0.00969702034776538,"3.895","83.29","156683","1881"
"CAMK2B",0.412733635056495,76,1.36646428207899e-05,0.00149473238914129,0.00971847317796449,"1578","0.2431","887.2","0.5623"
"PEF1",0.188624654178551,78,0.0439785075097194,0.2284443374491,0.00979243658863353,"0.3351","0.2634","0.5732","1.71"
"DLG4",0.318965719842717,46,0.00952694104246893,0.0977212446697052,0.00979248270689224,"4.407","0.3195","4.094","0.9289"
"CHRAC1",0.204380923208507,56,0.0657644471400952,0.28475758591201,0.00984489700459482,"0.3965","0.2947","0.738","1.861"
"TAT",-0.303465473235783,90,0.000488492908890568,0.015811133331823,0.00993293167622097,"8.259","0.3135","62.65","7.585"
"MTMR8",0.367609648794552,64,0.000391157915643682,0.0136640851371474,0.00993401319736053,"0.9174","5.643","1013","179.4"
"CEP41",0.249623352005427,87,0.00481703227242077,0.0659854164849156,0.00998307455176961,"26.44","0.2616","16.94","0.6408"
"CALHM1",0.403691738045955,87,5.14146910119895e-06,0.00079433047371719,0.00998637706361996,"0.2292","161118426","19130","0.0001187"
"POF1B",0.352293733958358,109,8.06169219880921e-06,0.00107736941985863,0.0100193758301751,"29.65","1.334","4003","135"
"LRGUK",0.117170127288651,112,0.132273020971775,0.411379411792508,0.0100463307043524,"0.2009","4","1.311","0.3278"
"EPB41L4B",0.138088434543887,104,0.0875956996392258,0.330187854832378,0.0100697344757127,"0.2309","0.2827","0.4733","1.674"
"CHRNA4",0.151073332790421,101,0.0655965565071035,0.284565816644084,0.0100698999347263,"0.2105","1.036","1.065","1.028"
"COX4I1",0.242069599650405,71,0.013770710576066,0.121107904162515,0.0101097313209519,"0.254","2.299","1.217","0.5293"
"TCAP",0.1838425721435,74,0.056017198413886,0.26145821353115,0.0101116867710351,"0.2404","1.386","1.113","0.8034"
"PTPRB",-0.258283675848823,129,0.000363728461757606,0.0131840677592157,0.0101219943422914,"0.4069","19.12","80.8","4.225"
"BACE1",0.222283776066506,66,0.0293736538259025,0.184799990023079,0.0101532741923438,"0.4754","0.3013","1.75","3.681"
"NDUFAF5",0.174083922313419,92,0.0430820108836811,0.226218295410948,0.0101558095642725,"2.686","0.2755","1.681","0.6259"
"PSD2",-0.16175251778413,110,0.0394994914245973,0.216961965355833,0.0101779044001266,"0.2328","0.4464","0.6034","1.352"
"BTNL9",-0.205728944425423,112,0.00822117552598089,0.0906567597000365,0.0102089026819213,"0.2713","4.224","3.961","0.9377"
"FAM221A",0.21301106779276,97,0.0109887024753555,0.106106118102885,0.0102220293830858,"0.3821","0.4247","2.414","5.683"
"DSCAML1",0.178222938023294,88,0.0429199747820959,0.225951122691266,0.0102246004765113,"0.2786","1.249","4.642","3.717"
"ME1",-0.198308765609031,89,0.0234696869775342,0.16288526332071,0.0103184172149689,"0.2489","0.9565","1.326","1.386"
"SLC38A3",-0.252385045603027,90,0.0037310851137248,0.0564186493980164,0.0103492912316442,"0.5285","10.1","28.66","2.839"
"KLHL21",0.342095814898608,57,0.00188222073770695,0.0373002081738956,0.0103684405090922,"3.775","0.2703","5.544","1.468"
"SYT12",0.223439059536474,80,0.015638467205155,0.129470683865116,0.010373903415382,"0.2358","6.44","3.21","0.4984"
"SCAMP3",0.188403858550535,69,0.0588723373560552,0.268981965737147,0.0103756076005303,"0.667","0.2899","1.269","1.903"
"SH2D7",0.375436689823843,118,7.3187450210302e-07,0.000219357425770317,0.0104479084874775,"18975","0.21","59876","3.156"
"RPS6KA1",0.230231993663012,58,0.0347938373551008,0.20241690586296,0.0104527210499128,"0.4953","15.51","0.5495","0.03543"
"LYZL4",0.211562638530313,78,0.0238680220297126,0.164832340155426,0.0104949164831767,"0.3972","1.024","10.59","10.34"
"NOX4",0.185448255768358,91,0.0321153772538661,0.193898709825237,0.0105119855875605,"0.393","0.5078","1.855","3.653"
"PAK3",-0.195991577402445,36,0.161282267779077,0.456959028187793,0.0105167408071972,"0.3238","0.5104","0.57","1.117"
"ADGRB2",-0.13685941378421,105,0.0888882932094423,0.332853563727312,0.0105247953403577,"0.214","0.3642","0.4801","1.318"
"SLA",-0.260904751756195,90,0.00271809681346787,0.0466773804148474,0.0105269662635449,"0.919","0.4386","5.382","5.857"
"RPS6KA6",0.209352190952157,84,0.020224256797815,0.150561705102859,0.0105317927371896,"1.876","0.2492","2.005","1.069"
"EPB42",-0.234506131815924,127,0.0013213216663899,0.0300475364074645,0.0105326108523059,"0.2417","211243","14.66","0.0000694"
"AGBL5",0.2143695727659,117,0.0048667838442226,0.0661229580140707,0.0105496161635191,"0.5694","1.84","10.14","5.511"
"NTF4",0.263216049354,63,0.0117871073898065,0.110931248637015,0.0105926959896251,"0.7758","0.3642","2.973","3.832"
"CLYBL",0.179627589710924,79,0.0535093109762093,0.255297846001105,0.010626912693975,"0.9288","0.2405","1.568","1.688"
"ACTRT2",0.22951533987815,105,0.00432961231732325,0.0619709361866344,0.0106380731037397,"0.2092","210.7","12.03","0.05711"
"INO80B",0.144186912970051,62,0.171237282155349,0.466735481923645,0.0106427789166269,"0.2802","0.7049","0.5172","0.7337"
"KIAA1143",0.206036620440923,70,0.0374065630216962,0.210426151181714,0.0107389374032694,"0.4172","0.6753","1.158","1.714"
"CCDC182",0.239824395279003,76,0.0114992315597607,0.109344850351887,0.0107720798843381,"0.254","32.95","4.142","0.1257"
"COLCA2",0.290034653245785,110,0.000222631924828992,0.00961487615414199,0.0107993017157633,"204.9","0.2021","143.3","0.6991"
"NDUFA2",0.204380923208507,56,0.0657644471400952,0.28475758591201,0.0108266451581452,"0.5164","0.3243","0.3976","0.77"
"CHRNA2",0.232703881792912,115,0.0024467250857072,0.0438071949037134,0.0108668043423043,"0.1995","296.9","7.586","0.02555"
"AK8",0.287379973688668,110,0.000254136506982574,0.0104628837737386,0.0108803348365172,"0.4883","22.62","255.7","11.31"
"KCNV2",0.359406249058154,106,7.14287649275206e-06,0.000982047221287911,0.0109094528984032,"28792","0.2061","11500","0.3994"
"DRD2",0.174121957414193,66,0.0879266327760644,0.330989329008315,0.0109430345287312,"0.2954","3.17","0.7181","0.2265"
"AL049569",-0.130233340747143,62,0.216522221661037,0.525133842662616,0.0109657420612976,"0.4435","0.2607","0.651","1.468"
"C21orf62",0.226458266096308,100,0.00603381762420148,0.0750396605114385,0.0109786811393707,"9.375","0.2244","15.07","1.608"
"SUSD4",0.395143345578719,85,1.0355693881658e-05,0.00124152342808422,0.0109788238815401,"119958","0.3986","1651","0.01376"
"DMTN",-0.234020495109821,66,0.0218216577894578,0.157630831886224,0.0110558340522729,"6.331","0.284","2.6","0.4107"
"CCDC170",0.230283885416866,107,0.00384880872252416,0.0573912910604448,0.0110955663755097,"0.8132","0.5647","7.694","9.461"
"GBA2",-0.156046113083046,106,0.0512726832296797,0.249309679065536,0.0111134205719896,"0.5236","0.2261","1.245","2.377"
"SLCO2A1",-0.341932448507072,111,1.22803782066409e-05,0.00136321294670164,0.0111241410816131,"4.304","5.065","2019","398.6"
"ADAM9",-0.439713489918577,96,1.77114771804576e-07,7.59872948349412e-05,0.0111499565921303,"24.02","1.082","4771","198.6"
