"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"TSR3",0.156175353500786,90,0.0727266603866901,0.299573281892895,0.774212073253448,"14.04","0.5138","0.923","0.06576"
"ABL2",0.0188760324269884,94,0.824494068954295,0.931253249724832,0.774225263489067,"0.2303","0.229","0.2166","0.9406"
"MGME1",-0.00888146727107995,95,0.91644653860938,0.967105684641938,0.774230583379656,"0.2161","0.2275","0.2197","0.9659"
"PIGL",-0.0695220182307593,97,0.406540562017646,0.6994463795651,0.774247068658764,"0.3057","0.3256","0.2152","0.6607"
"HERC2",-0.189889598418321,119,0.0118773185241592,0.111454912588008,0.774446010620861,"14.92","0.1952","4.066","0.2726"
"URB2",-0.050754705817823,120,0.499488529032392,0.761684367425602,0.774728376174182,"0.3855","0.2024","0.3178","0.8243"
"PARS2",0.0869679271927817,107,0.275037510513408,0.587946655152945,0.774741025473972,"29.81","3.035","0.3718","0.01247"
"CEP76",-0.0646913899710647,60,0.546128472392285,0.789792924068168,0.774829215807219,"0.8224","0.3958","0.3271","0.3977"
"KCNC4",0.141847883107117,69,0.154932279504339,0.446502911663852,0.774917040098031,"3.541","0.6139","0.6831","0.1929"
"MYOF",-0.0136356679567654,121,0.855433323003913,0.944000278242757,0.774959768265208,"0.1966","0.1999","0.2032","1.017"
"MANEAL",-0.0268310866712354,62,0.799024822832767,0.920029657700488,0.77500223615414,"0.268","0.2607","0.2599","0.9698"
"TXNDC15",0.0922001877033365,103,0.256393274644688,0.568978174711284,0.775009550384507,"2.045","0.3206","0.4048","0.198"
"MTA1",-0.0821700423052572,54,0.467863376341065,0.741750290626896,0.775157263250327,"0.7002","0.3894","0.4082","0.583"
"ARHGEF4",-0.0683277225438332,111,0.382249804999886,0.678719855181078,0.775236897050163,"0.2589","1.2","0.2041","0.17"
"GTF2E1",0.0567672531547917,74,0.555155896114563,0.793851742287485,0.77526359814802,"0.3417","0.4622","0.2792","0.6042"
"UTP14A",-0.0686708762569781,110,0.382058097730212,0.678469631158347,0.775351820168715,"0.2024","0.387","0.2807","0.7253"
"OCSTAMP",0.0947939729426574,117,0.213091786904006,0.520079985352501,0.775369543886304,"11.05","0.5483","0.5272","0.04769"
"PLGLB2",-0.055167728436737,81,0.548082501179309,0.790906534682054,0.775401113160429,"0.246","0.2392","0.2502","1.017"
"PDCD4",0.143548642385565,52,0.213633287460713,0.520824539756995,0.775519330963082,"0.7861","17.7","0.3629","0.0205"
