"","Rho","N","P","p.adj","PermPval","Bat","Cetacean","Combination","ratio"
"TRAPPC10",-0.22762564068973,214,4.92335992201406e-05,0.00108662527782934,0.0435182024145743,"3360","0.1592","819.6","0.2439"
"GJA8",0.186583146228262,161,0.00395663593579334,0.028240003677326,0.0435326962928851,"798.3","0.1706","168.4","0.211"
"PIEZO2",0.107625829501729,213,0.0555238826534297,0.179203947200521,0.0436808975571573,"0.151","1.23","0.4177","0.3397"
"ASCL3",0.153147626966739,162,0.0176612865589002,0.0816337110096826,0.043714646603328,"0.175","12.71","1.244","0.09794"
"ERLEC1",0.14283188521201,107,0.0730234667764523,0.216032818516692,0.0437223609634583,"0.7015","0.2276","0.9329","1.33"
"KIN",-0.162736914981677,124,0.0276929725521261,0.111933050462016,0.0437571620363685,"1.029","0.2133","1.346","1.308"
"DAPK2",-0.12412408920379,187,0.0386626302581188,0.14060895667964,0.0437829438469273,"0.8896","0.2192","1.633","1.835"
"MKNK2",-0.258708554115695,104,0.00137262289738078,0.0129052359599807,0.0438414479056505,"109.5","0.2466","23.67","0.2162"
"GNB1",0.330911260677903,18,0.10385366583033,0.272124833898304,0.0438588222620218,"0.5957","0.6788","1.017","1.498"
"AKAP13",-0.241071222155677,210,2.06020751587617e-05,0.000581436343369496,0.0438639689079888,"0.6812","675.5","1164","1.723"
"C20orf202",-0.157157167390019,160,0.0155419057228881,0.0746851577710675,0.043874612814478,"0.7564","0.4092","2.454","3.245"
"RASAL1",-0.17914850674467,212,0.00147457275451864,0.0136151918161657,0.0439029978759111,"1.339","1.101","22.48","16.79"
"PTPRF",-0.0711241392690526,197,0.223816805787775,0.439237898729105,0.0439120401791774,"0.1925","0.1711","0.2263","1.176"
"KRT72",-0.311822490763754,161,1.46610942863852e-06,7.31007198170302e-05,0.0439505531294033,"1692","NA","1692","NA"
"FGFRL1",-0.243671269108478,137,0.000524954310860604,0.00617216670271226,0.043979713421527,"85.48","0.2012","65.12","0.7618"
"SLC25A6",0.165171868160852,64,0.111102994241961,0.284504738975814,0.0439810834049871,"0.2996","1.158","0.9211","0.7952"
"KXD1",-0.0976158623773827,119,0.195916989646383,0.405518518732559,0.0439839302236568,"0.5642","0.2648","0.9913","1.757"
"PIF1",-0.0815615232996722,185,0.176581932137155,0.381331184623314,0.0440031026792928,"0.2145","3.201","0.2551","0.07968"
"OR1K1",0.21393396109022,117,0.00495415359606053,0.0331118852547974,0.0440050536955148,"141284","0.4774","49.24","0.0003485"
"KCNC3",0.208782252833596,89,0.0170623232400744,0.0797637442266056,0.044033928820479,"1.312","0.4056","4.294","3.273"
"PRSS27",-0.242856101393943,179,7.58134508046539e-05,0.00147228985409718,0.044035601901393,"57.51","0.1775","49.58","0.8622"
"EFNB1",-0.218577689145182,101,0.0077248769656689,0.0450693312300127,0.0440911351485764,"2.012","0.4112","8.626","4.289"
"GRIA1",-0.116288906980616,121,0.120238794624728,0.299651330257732,0.0441367524348455,"0.3976","0.2522","0.6322","1.59"
"NYAP2",-0.129937140659523,149,0.0536619245273732,0.175264446304459,0.0441569626056759,"0.1922","0.3332","0.3025","0.9081"
"TMEM61",-0.127448215095993,192,0.0314263356940205,0.12223729309084,0.0442143192856024,"0.2679","0.1696","0.3158","1.179"
"GBA",-0.262168072388763,198,6.94519247370031e-06,0.000243504958482066,0.0442232932279564,"46.88","0.7553","990.1","21.12"
"MEP1A",-0.0941069998391082,214,0.093307081877162,0.254320441291414,0.0442250171846843,"0.9104","0.1568","0.4526","0.4972"
"AQR",0.12194688978021,189,0.0411078696221412,0.14694876874357,0.0442571927427313,"12.71","0.207","2.206","0.1735"
"IFIT3",-0.181412634473768,167,0.00431575036264593,0.0301048985627987,0.0442703148118083,"10.05","NA","10.05","NA"
"DNAJC15",0.269634330045922,132,0.000166245217627027,0.00263131154546754,0.0443042161937376,"0.4618","159.1","99.22","0.6235"
"CLHC1",0.103640235448322,200,0.0740752406550453,0.218296869422106,0.0443070182247867,"0.6992","0.1539","0.5216","0.7459"
"SMARCAL1",-0.20003850489397,217,0.000327614804211443,0.00438841395946369,0.0443215719350858,"8.863","0.5545","97.47","11"
"KRTDAP",0.218896288902631,122,0.00331403189403989,0.0246198413966696,0.0443447645241884,"1.002","60424685","9.107","0.0000001507"
"RBBP5",-0.102024904673804,30,0.507997971536012,0.710626501562275,0.0443480859165989,"0.3557","0.3705","0.3454","0.9323"
"ESD",0.0849419003894101,133,0.233743776077368,0.450212795473044,0.044359176177358,"0.4912","0.4598","1.551","3.158"
"YY1AP1",-0.27410673567748,188,4.68063950177406e-06,0.000178246318713227,0.0443693679628809,"5.614","12.79","1285","100.5"
"SLC4A7",-0.198110870600747,178,0.00128628250316536,0.0122445524185914,0.0443902080963042,"0.809","3.192","18.75","5.874"
"NFIB",-0.231301799530483,30,0.133424644776273,0.320099125293842,0.0443994575365082,"0.8257","NA","0.8257","NA"
"ZFP90",-0.205975650256507,173,0.000970513190696331,0.00989812114564862,0.0444230233994746,"44.42","0.1971","56.76","1.278"
"LRRFIP2",-0.247673252805924,196,2.3883497167961e-05,0.000651079594006325,0.0444536442014872,"4.085","1.183","96.28","23.57"
"KIAA1191",-0.0979412054565352,166,0.124488386969444,0.306773428585417,0.0444731238304188,"0.1683","13.33","0.4086","0.03066"
"ZNF804B",-0.133630303631649,208,0.0188208266495398,0.0856328882700986,0.0444832495512255,"0.3659","1.05","2.668","2.541"
"DNAJC18",0.110227848968465,123,0.137514716428697,0.325683562895894,0.0445085010748485,"0.9253","0.2106","1.17","1.265"
"FASTKD3",-0.292303821809234,217,1.52605900513355e-07,1.26528477720969e-05,0.0445557499424103,"423933","0.1724","112371","0.2651"
"TEX264",0.152813844262169,162,0.0179100428755715,0.0824738147035669,0.044557475171717,"0.592","0.5024","2.395","4.046"
"GNL3",-0.118510333298062,213,0.0349965357653338,0.1314588181495,0.0445693427629259,"0.2008","0.4613","0.5224","1.132"
"ZNF276",-0.0871927538926825,176,0.158927507954352,0.35722691047044,0.0446014302683044,"0.4447","0.176","0.2884","0.6485"
"MUC4",-0.144129233614741,204,0.0121106719182014,0.0624742011718438,0.0447364158536737,"0.946","0.3679","4.194","4.433"
"HOXC8",0.205971460217775,15,0.360765350584501,0.581147781802201,0.0447660662657652,"0.4559","0.4404","0.4551","0.9981"
"EDC4",-0.0869737395649543,183,0.151820205590902,0.346532599703906,0.044791778321299,"0.1755","0.2569","0.254","0.9885"
"NSDHL",-0.200140161811649,184,0.000943155725669992,0.00968080687759539,0.0447937688727198,"122.6","0.1645","21.18","0.1727"
