"","Rho","N","P","p.adj","PermPval","Bat","Cetacean","Combination","ratio"
"RNF19B",-0.1871950309179,154,0.00470299315798668,0.0320107598954074,9.9507438181004e-05,"0.8683","2.377","15.64","6.58"
"CMBL",-0.321858232094801,162,6.1515525450081e-07,3.77149431493789e-05,0.000101776600362205,"52486","0.2176","24877","0.474"
"CRYGB",0.198450642633716,108,0.0123290378400514,0.0632337383065713,0.000102557605702203,"1.654","0.4337","6.034","3.648"
"GADD45GIP1",-0.204506677509135,147,0.00255980639871389,0.0204401307346405,0.000103184141204462,"1.22","2.279","15.62","6.856"
"NEUROG1",-0.239763373262745,128,0.000979310048830085,0.00994979009611366,0.000103252765807543,"16.73","0.2535","34.57","2.066"
"DECR2",-0.235439060145756,162,0.000264756831906998,0.00375255874594844,0.000103672443864421,"15.03","0.4222","90.83","6.044"
"CHRDL2",-0.235981434771192,182,0.000105453675298184,0.00187384230874704,0.000103768632573584,"546.1","0.1643","192.1","0.3518"
"HACD3",-0.222953564653947,132,0.00184846701866325,0.016137026313502,0.000104007659858244,"2.918","0.7424","20.31","6.963"
"GMFG",-0.244434915003884,54,0.0308078786043336,0.120623360270748,0.000104013068936191,"0.437","0.5629","0.7668","1.362"
"LINGO2",0.288973750927094,123,9.88612823906306e-05,0.00179441249171652,0.000104082800929398,"292.6","0.304","1319","4.509"
"CERS5",-0.3208861103571,125,1.30716508396755e-05,0.000402930724255976,0.000104765925190967,"87.1","0.5799","941.4","10.81"
"CC2D1A",-0.252725662624022,207,9.34411158220207e-06,0.000310216750079663,0.000104877416807531,"1688","0.1896","1714","1.015"
"CAB39L",0.219219391558145,110,0.00526364437391457,0.0344212657422889,0.000104879681412544,"1.638","0.2652","2.784","1.7"
"ECSIT",-0.251042173577076,198,1.6729756724743e-05,0.000489101210953468,0.000105085196277511,"686.8","0.1902","713","1.038"
"EBI3",-0.254119572164719,186,2.4227943312164e-05,0.000657435310109405,0.00010508941873188,"1.712","1.741","46.43","26.67"
"PLAC9",-0.206348277682392,142,0.00278594100459033,0.021725452220007,0.000105121910497969,"3.179","0.4526","17.49","5.501"
"RAVER2",-0.212341087799108,189,0.00037594699268012,0.00482533114490875,0.000105130036579069,"4.049","0.9239","75.29","18.59"
"RPUSD1",-0.273324517263973,163,2.1597851878521e-05,0.000602105968223159,0.00010530325789697,"9.714","11.71","1430","122.1"
"MRI1",-0.156011859936515,168,0.0138198039670913,0.0686144905620212,0.000105434202855406,"0.702","0.581","3.583","5.105"
"COMMD10",-0.29726012900597,122,6.65110907547223e-05,0.00133412287576681,0.000105453823631582,"92.49","0.346","388.8","4.204"
"NFATC4",-0.203680529651434,183,0.000790221969856218,0.00844205187697332,0.000105467562520551,"3.514","0.2079","6.146","1.749"
"TMPRSS9",-0.413621831667542,203,6.85967397789376e-13,7.31790019961706e-10,0.000105540897097625,"341062","108.5","41647141257","122110"
"ODF3L2",-0.385058241917044,171,8.73359276607654e-10,2.3687279905552e-07,0.000105698715138854,"1834","25.63","9289272","5065"
"TMPRSS2",-0.328802231315631,200,1.45644030005689e-08,1.92611220508351e-06,0.000105776320415141,"41.01","51.81","261550","5048"
"HORMAD1",0.348499009947401,176,1.79837390381859e-08,2.26595111881142e-06,0.000105971823962099,"265.8","655.5","30812843","47008"
"PDZD7",-0.34324901051083,197,4.34185831251118e-09,7.89527462690954e-07,0.000106024036272694,"679.1","31.8","5984373","8812"
"DOHH",-0.291947113875969,168,4.084965100595e-06,0.000160608382161477,0.000106059424471652,"221","1.474","14620","66.15"
"TM6SF2",-0.285490097752118,179,3.28778277072195e-06,0.000134845193283902,0.000106080933512215,"83.7","0.8922","2461","29.4"
"GNA14",0.225633621914685,100,0.00622026214548617,0.0386399980015799,0.000106111391994208,"1.115","0.8634","7.13","6.393"
"UMODL1",-0.405456461090905,199,3.16897153748357e-12,2.2047775018614e-09,0.000106124309021503,"5021045","3.119","3569781391","711"
"CREB3L3",-0.3087974843932,191,1.99816698755619e-07,1.56738569288599e-05,0.000106227094782687,"39138","0.2382","64304","1.643"
"MICAL2",-0.245000391329584,223,8.16364011465735e-06,0.000278538526897115,0.000106236720409949,"7.926","5.557","1488","187.7"
"WFIKKN1",-0.450166107552151,162,3.07592688694121e-12,2.2047775018614e-09,0.00010634903754121,"93124","7.331","264317323","2838"
"RALGAPA1",-0.222951954419374,206,9.61296465531429e-05,0.00176204651104627,0.000106382978723404,"6.189","0.8647","99.93","16.15"
"DHX34",-0.346769605230502,211,8.25124697986343e-10,2.29476243443055e-07,0.000106447260078834,"17743","2.626","6278077","353.8"
"PARS2",-0.291956136844925,188,1.07838337189443e-06,5.75209690568487e-05,0.000106447593345147,"41.1","4.859","8898","216.5"
"SYNPO",-0.244349172119476,201,2.42398970731502e-05,0.000657435310109405,0.000106447593345147,"7.755","2.815","753.6","97.17"
"C13orf42",-0.314041716416995,180,2.87223580934074e-07,2.03517972277286e-05,0.000106591425660318,"196.2","4.591","69603","354.7"
"TSKU",-0.157135436518239,182,0.00982076482821,0.0537638996856026,0.000106602788603535,"7.018","0.1846","9.039","1.288"
"TMEM205",-0.250142493080576,142,0.000288860650066886,0.00401685437921253,0.000106821159386595,"27.66","0.1846","22.06","0.7973"
"HSH2D",-0.251431677284888,204,1.20461707889615e-05,0.000377966323460708,0.000107105167824348,"102.5","0.382","770.7","7.517"
"STT3B",0.286017988007144,67,0.00473041970895735,0.0321564044956396,0.000107119340396909,"0.3212","0.2734","0.3741","1.165"
"GFM1",-0.16766979035355,190,0.00486660943139979,0.032720791647588,0.000107140606289784,"1.311","0.393","6.114","4.664"
"MUTYH",-0.234114477517959,220,2.29966492790319e-05,0.000634469623729429,0.000107172014234965,"8.509","4.517","1242","146"
"SKIV2L",0.303654085370486,202,1.44390630150553e-07,1.21607308614165e-05,0.000107211553621543,"615","3.62","254902","414.5"
"SSC4D",-0.197377043108664,185,0.00107453569082368,0.010706550513425,0.000107331702312367,"4.573","0.1656","3.399","0.7433"
"LCMT2",-0.175336355432796,201,0.00245049486900351,0.0197446217994936,0.000107622523494946,"1.268","0.7156","10.23","8.064"
"EHD3",0.365863605194856,112,2.60185479184126e-06,0.000112223397248097,0.000107704345236775,"30.2","26.79","39007","1292"
"RABEPK",-0.289928821246023,181,2.02502574123349e-06,9.33846164588424e-05,0.000107728574687587,"6.061","22.25","1757","79"
"RGS2",0.259522604001823,111,0.000904334622713987,0.00936115412609511,0.000108049359489753,"67.6","0.3207","237.5","3.514"
"ARHGAP31",-0.23344201297657,215,3.00925747723308e-05,0.000759735597290795,0.000108141805713704,"2.483","13.96","572.3","41.01"
"NDUFV1",0.203190497888922,120,0.00686210712770101,0.0413587338069573,0.000108224419248668,"0.41","2.431","4.535","1.865"
"CCDC9",-0.260684295232395,174,2.82231791009926e-05,0.0007307885307024,0.000108229931305826,"5.803","2.656","373.3","64.34"
"TSC22D3",0.168089639931934,94,0.0482872064961361,0.163472031778211,0.000108285082774391,"0.2266","0.8596","0.5253","0.6112"
"EIF3A",0.280673863594279,173,6.94666136793679e-06,0.000243504958482066,0.000108320271182985,"8.305","9.108","2328","255.6"
"CYP1A1",-0.237486915594287,181,9.95964831435289e-05,0.00180083946131384,0.000108408265527978,"3.366","0.4788","23.3","6.922"
"RCC1",0.189884004838987,157,0.00378603079878215,0.0272165610252076,0.000108471634667534,"0.2464","3.694","2.593","0.7021"
"PGAP6",-0.33318394990677,207,5.13480645972286e-09,8.93121445309622e-07,0.000108480286898453,"4.851","2.699","243.4","50.17"
"LY6G6F",-0.197003414429952,188,0.000999386534338721,0.0100960753298537,0.00010852772564191,"0.3266","39.06","19.79","0.5067"
"IQCC",-0.2431335223942,175,8.97442462708736e-05,0.00167571461940084,0.000108634180786448,"1.811","11.91","261.7","21.98"
"NNT",0.199616690402574,171,0.00148119377128104,0.0136480380908227,0.000108813579934776,"2.808","2.63","139.8","49.8"
"CLDN1",0.212788435155006,101,0.00950573487229466,0.0526517028128969,0.00010897226335391,"0.5632","0.9674","4.879","5.043"
"ODF2",0.269779972782056,131,0.00017474814973556,0.00273202540638258,0.000108990078697248,"0.2201","100.7","10.43","0.1035"
"PPIA",0.332880512542437,53,0.0035846510728276,0.0261136343059633,0.000109003376076787,"4.711","0.3671","13.98","2.968"
"HEG1",-0.182847679354645,212,0.00117328213774226,0.0113994297317254,0.000109291725330607,"0.1971","1637","53.66","0.03278"
"RHPN1",-0.253590708883158,196,1.51809304968894e-05,0.000455769699458207,0.000109402149430465,"1.256","331","3557","10.75"
"ITGB6",-0.249522097550277,189,2.92604257224341e-05,0.000746883978028999,0.00010970077500371,"1.946","22.69","365.8","16.12"
"INO80D",-0.195609896808594,164,0.00229321405985327,0.0187703383047427,0.000109813801010933,"1.055","0.6669","7.269","6.89"
"DUSP19",-0.343732323239142,126,2.7564343082381e-06,0.000116139994062447,0.000110034499051762,"350","0.2105","359.1","1.026"
"LYRM7",0.20519543790248,92,0.0171051198917424,0.0798704781172053,0.000110335261573381,"1.014","0.3803","2.39","2.356"
"SDR42E2",-0.157993406223504,181,0.00962677804542471,0.053106934495666,0.000111033097660141,"0.325","8.58","4.126","0.4808"
"RGL3",-0.279400512163345,198,1.66081511797355e-06,7.9808899452891e-05,0.000111163605035711,"161.1","0.7543","3922","24.34"
"STX11",-0.312975722580178,167,8.48131159303359e-07,4.77880098984942e-05,0.000111717627489984,"113","1.901","12504","110.6"
"HAAO",-0.2567147894375,170,4.59426638572203e-05,0.0010368043663281,0.000111885166330463,"15.95","0.6114","196.2","12.3"
"CFAP69",0.208891949576317,208,0.000240593132168576,0.00349124053590727,0.000112337276151457,"4.779","1.137","128.8","26.96"
"SLC66A1",-0.185006248531191,173,0.00304568621587231,0.0232191857200518,0.000112553945498164,"7.414","0.2572","18.87","2.546"
"RPP38",-0.22338607710601,184,0.000223327279772836,0.00330590483896848,0.000112578805163615,"8.729","0.5449","81.99","9.393"
"SH3BP1",-0.268006582751176,185,8.97606814465252e-06,0.000301121682286645,0.00011285070847011,"24.05","0.4749","229.3","9.535"
"COPZ1",-0.469791070102348,47,0.000112686556740759,0.00197072161854166,0.000113284243494486,"14.3","0.452","35.02","2.448"
"PDE1C",0.336951850556581,166,1.25652421213545e-07,1.09349177241221e-05,0.000113438831446579,"28128","0.7387","1207574","42.93"
"MYO3A",-0.40246418322367,211,1.03204763776236e-12,9.71460370557252e-10,0.000113439209929267,"14909269","1.886","4790959393","321.3"
"DNTTIP1",0.120007904485977,115,0.118163634101314,0.296093716393553,0.000113987240134237,"0.2163","1.991","0.7635","0.3835"
"ACRBP",0.304664226254276,191,2.89876816215639e-07,2.04100677678306e-05,0.000114452680549104,"9.283","567.9","258709","455.5"
"NIBAN3",-0.232152199792855,203,5.55087830824435e-05,0.00118131291241265,0.00011459898099825,"2.863","1.125","54.48","19.03"
"TAMM41",-0.259314571806002,179,2.38465329995922e-05,0.000651079594006325,0.000117110123668291,"8.486","0.4435","69.78","8.223"
"ATPSCKMT",-0.26400098041545,170,2.77689075874317e-05,0.000723710194159742,0.000117402388300013,"121.6","0.2954","420.5","3.457"
"NOTCH1",-0.138428847907325,189,0.0204226962070807,0.0907788846404737,0.000117412597135751,"0.9273","0.2118","1.542","1.663"
"CPA5",0.212428702478248,189,0.000373853545257301,0.00481675074976436,0.000118185295883109,"0.2048","5227","60","0.01148"
"TP53I3",0.197627419938952,167,0.00187586457229525,0.0162961915775616,0.000120087148959531,"0.1675","101009504","233.4","0.000002311"
"IL2RB",-0.225428533566285,196,0.000120246364268728,0.00207795067065679,0.000125087561292905,"1.092","1.419","23.8","16.77"
"RXYLT1",-0.224361900721547,177,0.000277770506022084,0.00389219232693991,0.000128927550300705,"3.511","0.8433","44.48","12.67"
"CYP24A1",-0.203495011853227,206,0.000371146989436677,0.00479345772797878,0.00012993762993763,"1.822","2.351","58.32","24.8"
"FOXJ1",0.224494795741483,153,0.000728100164958639,0.00791215468063949,0.00013072603967057,"0.327","1167","218.2","0.1869"
"STAT5B",0.13389004891803,121,0.0736234520807822,0.217325674266127,0.000132855857433587,"0.3675","0.1978","0.3701","1.007"
"TRABD2B",-0.247915520427993,167,9.60415955248931e-05,0.00176204651104627,0.000134713467587313,"7.083","0.8566","94.95","13.41"
"SLC2A11",-0.301339585741862,178,9.76360161053249e-07,5.33232603999116e-05,0.00014003927931005,"43.34","1.102","1726","39.84"
"MRPL58",-0.171537025404661,174,0.00586232612362117,0.0370347187643845,0.000140940070268692,"0.796","0.8274","6.171","7.459"
"QRSL1",-0.149773110580462,189,0.0121248139797888,0.062517049125149,0.000145779469962998,"2.193","0.2148","0.5266","0.2401"
"CIB2",0.217546583693047,64,0.0358641949874241,0.133651338655976,0.000147750284636578,"5.315","0.2628","4.851","0.9127"
"TMEM221",-0.199816112885999,163,0.00190077125258322,0.0164767830898357,0.000160665418217351,"0.6762","3.088","14.93","4.836"
"SMC1B",0.156229158743749,209,0.00590556975937852,0.0372344079155142,0.000161570203869283,"0.3619","4.468","9.8","2.194"
"CCDC60",0.187064997005598,204,0.00112874647276115,0.0110811049430208,0.000161765181662299,"0.2448","12.21","5.184","0.4246"
"MCCC1",-0.134486577034732,201,0.0201467864261024,0.08983490107058,0.000167928163384943,"0.3366","0.4749","1.242","2.614"
"ACOX3",-0.291064708757977,203,4.32425801919836e-07,2.80148894021102e-05,0.000169917118205675,"0.6873","50334","16175","0.3214"
"ZNF174",-0.25640230552344,164,6.4132449107314e-05,0.00129612603849388,0.000173783304934598,"40.94","0.4425","295.4","7.216"
"SND1",0.250967376958857,129,0.000531998534128172,0.00622073358766437,0.000189154145374113,"2.154","2.928","80.04","27.33"
"VMAC",-0.205103613135405,133,0.00403676255021633,0.0286712269545325,0.000191108521898879,"1.114","1.174","12.33","10.51"
"KEAP1",-0.199944471779181,102,0.0143234597014918,0.0705460148178737,0.000194104761112498,"1.73","0.2747","3.209","1.854"
"SDR16C5",-0.18875721872738,184,0.00181543748909195,0.015909436309118,0.000194381740657136,"1.974","0.8592","20.25","10.26"
"ABCA3",-0.409306716761429,209,5.4908113659132e-13,6.690750288729e-10,0.000196345934454311,"148.9","0.5601","2394","16.08"
"DAPK3",-0.394096389921187,84,1.23470807543958e-05,0.00038439296932265,0.00020034766211956,"93.53","0.2767","121.6","1.3"
"FUCA2",-0.229145918932057,193,0.000105016282855354,0.00187134806041356,0.00020383606320233,"0.9023","105.1","173.1","1.647"
"CFAP97D1",0.342301260934085,130,2.10214419509077e-06,9.56685765618465e-05,0.000203841818748651,"41.08","46.49","214484","4613"
"SERPINB10",-0.204722106774824,187,0.000648613110308286,0.00725304471778699,0.000204082857640202,"6.434","0.4834","48.02","7.463"
"CCDC70",0.29097742958691,172,3.3729542018362e-06,0.000136643071234893,0.000204957184791482,"0.2688","15990889340","199658","0.00001249"
"MCRIP2",-0.406972776401968,79,1.2171999604348e-05,0.00038042253450933,0.000209175418197031,"321.9","0.6306","3147","9.775"
"TESK2",-0.298539347066602,167,2.64230109935202e-06,0.000113601871917415,0.000214674925337324,"16418","0.3872","132808","8.089"
"ATP6V1E2",0.361571196244886,163,1.91924842220096e-08,2.36244717323537e-06,0.000221186035389766,"80.88","45814","16738984","365.4"
"MRM1",-0.156862788582889,176,0.0112679238411135,0.0593432766693748,0.000225477647870231,"0.7824","0.3765","3.034","3.878"
"IK",-0.179005707902649,52,0.120944876955948,0.300891147264574,0.000237430031321249,"0.2983","0.5486","0.4927","0.898"
"ADAD1",0.166286568887721,160,0.010465715832579,0.0562365294670681,0.000238664322140679,"0.2548","10.49","8.155","0.7777"
"ARPIN",-0.17483659522258,167,0.00594768371389728,0.0374409263531803,0.000241564838198616,"0.8814","0.6051","5.362","6.083"
"TSPAN32",-0.181111451259195,162,0.0050180291516645,0.0334338248214323,0.000243733737360429,"4.342","0.1721","2.225","0.5123"
"IL17RE",-0.229025609533126,182,0.000167626132941752,0.0026401115938326,0.000256481212751166,"0.6207","56.33","217.7","3.865"
"DLEU7",-0.229081570026126,106,0.00421661455376506,0.0295939763549774,0.000260237075976214,"0.348","3.309","3.034","0.9169"
"LIPM",-0.129623523341222,177,0.0357105015937895,0.133326982385399,0.000260237323744752,"0.9977","0.1874","1.328","1.331"
"L3HYPDH",-0.168247608786855,154,0.0110665288162464,0.0585410228487851,0.000260844992862991,"0.377","1.11","2.833","2.553"
"SNTN",0.151031081674738,145,0.0269611545217616,0.10999071723649,0.000261536198244438,"0.1825","89.65","2.904","0.03239"
"RDX",0.241001001092608,93,0.00486224411279735,0.0327051829730909,0.000264604709963837,"8.248","0.2704","15.72","1.906"
"PSMD6",-0.226018650997796,165,0.000408902690378062,0.00516437320554834,0.000270152057014948,"1.267","2.445","33.11","13.54"
"FBXO22",0.277713167961228,152,3.10155147289813e-05,0.000777915778515922,0.00027271359430248,"38.89","1.099","1337","34.38"
"CTSB",-0.228319820613125,168,0.000314620712747008,0.00425935756800137,0.000276891590922771,"5.542","0.4181","33.32","6.012"
"GPR83",0.124303371113678,166,0.0512126758883179,0.169916077040196,0.000282499325493184,"0.2474","0.6204","0.842","1.357"
"IL17B",-0.213222519233259,110,0.00664549024691768,0.0404800665897133,0.000282931768770289,"3.267","0.377","9.425","2.885"
"DTWD1",-0.145512170371866,155,0.0274896438627715,0.111279858611705,0.000291107291618278,"1.43","0.2259","2.641","1.846"
"SEC24B",-0.152455659937714,207,0.00750696372859015,0.0441641299944484,0.000296339795715851,"0.8836","0.4181","4.328","4.898"
"CKMT2",0.19201768198301,145,0.00491747146997667,0.032941721051553,0.0003000670738165,"0.4304","0.4773","1.518","3.181"
"ODF3",0.192971616143821,138,0.00584536738839587,0.0370058202547282,0.000300746559105544,"0.8723","0.5837","5.316","6.094"
"FUNDC2",0.148269307171253,134,0.0369377748774935,0.13635023612218,0.000301894834046634,"0.2056","0.5773","0.4641","0.804"
"MAGI1",0.221319770215206,182,0.000276083254011356,0.00387873944748877,0.000311377043937826,"150.5","0.218","165.8","1.101"
"COMMD2",-0.189733189441756,108,0.0167271187146293,0.0787256922563228,0.000311849358415805,"2.596","0.2937","5.424","2.089"
"FNDC8",0.176553066145302,188,0.00318699291005339,0.0239372180779146,0.000313217161891109,"0.3559","38.56","28.84","0.7477"
"IZUMO3",0.160119633429853,178,0.00927579061104674,0.0516821731747806,0.000316982328235201,"0.359","8.991","8.281","0.9209"
"KIFBP",0.167261735118801,143,0.0149902787288132,0.0728216272672945,0.00032442031212649,"3.216","0.1988","4.246","1.32"
"HYDIN",0.165642346720396,228,0.00228949608906763,0.0187525390021739,0.000324920442274061,"2.418","1.381","61.11","25.27"
"CIB3",-0.204806328046142,92,0.0173164542308395,0.0805517152912482,0.000329829117105043,"2.286","0.2193","1.922","0.8408"
"IDI1",-0.330758181855672,161,3.25166292897388e-07,2.22363718758291e-05,0.000330477587324768,"1.012","3838","9573","2.494"
"TRAF7",-0.309774999016021,104,0.000127073250756467,0.00215633738982501,0.000332934440183302,"87.95","0.5106","12.27","0.1395"
"TCEA3",0.120775503585853,158,0.0646624836110539,0.19957278929879,0.000335970897969114,"0.841","0.5279","4.009","4.767"
"CCDC136",0.228723099578605,217,3.99857043327373e-05,0.00093272775616977,0.000336623664643624,"0.632","1295","1769","1.366"
"SHLD1",-0.172934341204376,184,0.00427088016343761,0.0298700281360702,0.000337912521711669,"0.9676","1.648","19.41","11.78"
"KCNAB1",0.198325109427694,149,0.00322838631404335,0.0242078291208335,0.000342069520599628,"8.051","0.2123","11.78","1.463"
"TMCO2",0.207037169756813,168,0.00108652266174242,0.010763440760965,0.00034366032613365,"0.4146","16.75","19.57","1.168"
"TLL2",-0.204683472694614,194,0.000513360470964181,0.00606257878698807,0.000343984100290475,"25.98","0.2134","38.79","1.493"
"XRRA1",0.135934320766578,216,0.0148705663279248,0.0724821207369641,0.000346805388822196,"0.2894","3.645","3.975","1.091"
"CCDC65",0.147328204187582,191,0.0131124369579988,0.0661075035292679,0.000356764357142108,"0.3949","1.832","5.147","2.809"
"DHRS13",-0.201513754180583,166,0.00157371529207207,0.0142644700958446,0.000358291048533912,"2.278","1.047","31.59","13.87"
"AFAP1L2",0.109624611216765,206,0.0551499606777002,0.178460370675265,0.000360538150629044,"0.1714","0.2733","0.2876","1.052"
"ALG1L2",-0.399582739498264,153,1.81061242957854e-09,4.02408612473831e-07,0.000362484940882971,"4539","4.934","1634105","360"
"SCRG1",-0.19616717849595,112,0.0117349585261653,0.0611670378943638,0.00037147102526003,"0.7649","0.201","0.6032","0.7885"
"DNAH6",0.291560099822361,230,6.96801494027314e-08,6.59776183871306e-06,0.00037165781246584,"14360","2.081","3166791","220.5"
"SLC26A5",0.177885025925626,171,0.00462106388446792,0.0316009676407076,0.000378496921929444,"7.282","1.717","241","33.09"
"KIAA1671",-0.235438287368926,176,0.000142524643861838,0.00236830669893783,0.000379355650548678,"3.953","0.9429","58.9","14.9"
"CNKSR1",-0.29307450710188,211,2.11115357546172e-07,1.61639614902098e-05,0.000380807311500381,"263.4","1.758","32238","122.4"
"PRDX5",-0.207604561758186,169,0.00101652418790996,0.0102368911610669,0.000383083291028065,"5.375","0.2515","12.2","2.27"
"PALM2AKAP2",-0.231336953224767,205,5.41598814132998e-05,0.00115709802720377,0.000392851979659696,"10.66","0.8204","202.5","19"
"PARP6",-0.276689865396066,66,0.00669536643323092,0.040675494937191,0.000395606441403705,"4.458","0.2645","5.234","1.174"
"LECT2",0.141844524040888,143,0.0391171772834161,0.141746619313683,0.000400244855676414,"6.684","0.609","74.91","11.21"
"ADARB2",-0.38500082478044,175,5.56851312521373e-10,1.71360282749366e-07,0.000400697685381606,"168043","0.5037","2867195","17.06"
"SLC9A7",-0.130005743787346,152,0.0511557260347709,0.169837051125481,0.000405099186003823,"0.3163","0.4424","0.8415","1.902"
"ANKRD44",0.259468442388272,151,0.000104799361414517,0.00187067279916384,0.000406499598993639,"12.82","2.323","830.7","64.8"
"ARHGEF19",-0.308432861882711,199,1.14459001663241e-07,1.01191875393104e-05,0.00040992006558721,"886.8","1.314","67582","76.21"
"TGIF1",-0.218884814727183,109,0.00554983492407059,0.0357665962363986,0.000410990365902305,"1.978","0.5732","8.154","4.121"
"CADPS2",0.228742679992142,180,0.000185635898011989,0.0028645570298822,0.000420224020833642,"0.3855","9.729","10.01","1.028"
"C1orf74",-0.22717100967429,195,0.000110930622115143,0.0019485310813244,0.000420724388402856,"40.99","0.3599","262.3","6.398"
"CRYBA4",0.349643101920926,78,0.000188620915412584,0.00290222296964632,0.000423765782159461,"10351","0.2667","693.3","0.06697"
"ESCO1",-0.200654364406315,207,0.000433678528005036,0.00538798432075822,0.000432863996537088,"0.569","10.69","43.96","4.113"
"TBATA",0.126469099487061,192,0.0327526504698104,0.125534829417463,0.000437213797547,"0.7166","0.3256","2.451","3.42"
"TSTD3",-0.116626643621769,152,0.0802087946817217,0.230804015913848,0.000438705699617022,"0.223","1.249","0.845","0.6767"
"ZNF263",-0.222478987371976,178,0.000300381921212469,0.00412947723646214,0.000439964285252138,"466.6","0.1749","306.9","0.6578"
"TSNAXIP1",0.168394921203631,205,0.00329751911579939,0.0245313346773695,0.000440306281344975,"1.049","9.206","28.9","3.139"
"PLEKHB1",0.215013378335329,132,0.00267620628013659,0.0210751244560757,0.000440555589549042,"0.446","20.39","25.6","1.255"
"ZDHHC1",-0.144011784587804,198,0.0135358363571146,0.0676402762449021,0.000442329245945038,"1.182","0.2422","2.644","2.237"
"CCDC73",-0.232688268601031,224,2.17380547141131e-05,0.000603910332526454,0.000442504074465334,"20.08","2.528","1757","87.53"
"RHOT2",-0.354640543352687,180,6.82991654567242e-09,1.13781821812096e-06,0.000443605828105866,"556.8","30.04","1441592","2589"
"ACTL7A",0.273885500713419,184,6.02626974473759e-06,0.000217680289966797,0.000443632567849687,"3.176","110.8","2384","21.53"
"MFSD10",-0.216822319686838,191,0.000261386731729406,0.003711366886543,0.000443730994609974,"102.2","0.1654","48.98","0.4792"
"ACOT13",-0.296701491381989,161,4.59953032674601e-06,0.000176080584422463,0.000444130940251326,"76.8","4.97","6183","80.51"
"AFF1",-0.281926899628414,209,6.76640362207472e-07,4.00729533764815e-05,0.000444345700955343,"10.62","6.947","2736","257.6"
"CCDC38",0.29043758199448,197,6.78650816462098e-07,4.00729533764815e-05,0.000445276791911678,"2824","0.4169","29152","10.32"
"CAV1",0.30201852987673,72,0.00196564486393187,0.016901799630649,0.000446251799148979,"20.44","0.2657","30.39","1.487"
"CLDN14",-0.209388687599252,138,0.00278223201806822,0.0217071071443821,0.000448915999894373,"7.066","0.1917","5.505","0.779"
"MDM1",-0.232216163487892,209,4.27710136515338e-05,0.00098336459835035,0.000452668993767832,"3.117","16.51","894.7","54.18"
"SLC31A2",0.157061882750916,145,0.0214250024785123,0.0937868692618174,0.000453035336756267,"0.5897","0.6445","3.378","5.242"
"TMEM86B",-0.210572745908798,173,0.000744712705573517,0.00806830921773014,0.000455794366124849,"0.5337","1.877","6.65","3.544"
"FAIM2",0.263211140462381,103,0.00119508076145332,0.0115618505912472,0.000456051399675399,"17.59","0.8206","116.1","6.601"
"CABP5",0.237445976852665,93,0.00552896994340428,0.0356752326751433,0.000461583098145755,"27.78","0.2196","15.83","0.5697"
"TMC1",0.203089368648454,160,0.00176813893341475,0.0156174859297144,0.000463632148798647,"47.45","0.6132","785.9","16.56"
"PIGV",-0.281793385014997,195,1.62872527734926e-06,7.87397640125161e-05,0.000464265231996067,"362.6","0.3176","1578","4.351"
"EP300",-0.220258581629608,171,0.000453175474398136,0.00555686892055094,0.000464569726450414,"3.083","0.3415","11.96","3.88"
"SEH1L",0.460541765994093,95,5.32586052512734e-08,5.3600264228357e-06,0.000467283297370844,"153365","0.2311","82401","0.5373"
"TOLLIP",0.131958580545133,110,0.093015967270952,0.253870289658839,0.000468545442017502,"0.2131","1.407","0.4031","0.2864"
"CFAP58",0.237134445970582,187,7.80279519655359e-05,0.00150797498472525,0.000471201286102334,"11.1","11.52","5142","446.3"
"IDO2",-0.325391589654941,187,5.93871286005786e-08,5.79459043821012e-06,0.00047522870381371,"276.2","5.466","144837","524.4"
"NUDT7",-0.301582781345448,191,3.81373669647672e-07,2.54280894237585e-05,0.000475848988318242,"15.28","203.5","48941","240.5"
"DCHS2",-0.33220323541695,225,1.23295104851896e-09,3.13169566323816e-07,0.000475883884332223,"856","21.63","3377201","3945"
"E4F1",-0.324712893620416,187,6.32608035546776e-08,6.06167292504162e-06,0.000476504141381582,"490.6","3.587","191571","390.5"
"THUMPD2",-0.142908408189274,206,0.0124215969160285,0.0635455223306549,0.000478203800565929,"0.8623","0.2637","2.249","2.608"
"NBEAL1",-0.2347392365582,216,2.60172047838498e-05,0.000688144315621759,0.0004783410008582,"263.5","0.1484","60.14","0.2282"
"PSPN",-0.158889266892763,154,0.0164274758274188,0.0777959361320968,0.000479012497313231,"1.082","0.379","3.279","3.03"
"BIN1",0.271028947873859,158,3.3816723904575e-05,0.000829119822477326,0.000481361403310068,"42.5","1.231","1929","45.39"
"IL37",0.344252220976329,102,2.47990531083304e-05,0.000665759344608223,0.000481450014160295,"71.56","NA","71.56","NA"
"TSTD2",-0.252753730721923,202,1.19811342603065e-05,0.00037666426411282,0.000482504128468423,"3.788","1.962","177.1","46.75"
"NTS",0.205875529812713,136,0.00351214381549575,0.0257567943792681,0.000484751707324028,"6.074","0.1965","7.198","1.185"
"LEXM",0.304289426375317,176,8.82827228194597e-07,4.93951094600348e-05,0.000486360450312558,"97.98","107","66092","617.9"
"BSDC1",-0.272899913953163,182,7.31402039956315e-06,0.000255313722223989,0.000486574651516605,"7.671","3.468","551.5","71.9"
"BEST3",-0.147138499972206,208,0.00969508620713381,0.0533496456281139,0.000489802375389408,"1.579","0.6659","14.78","9.363"
