"","X.1","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty","PantheriaMaturity","pantheriaMaxAge","pantheriaBodysize","lifeHistoriesMaturity","lifeHistoryMaxAge","lifeHistoryBodysize","anAgeMaturity","anAgeMaxAge","anAgeBodysize","combinedMaturity","combinedBodysize","MaximumAge","MaturityPercentage","elifeLongevity","L3","ELL"
"24",24,24,"otoGar3","vs_otoGar3","Bushbaby","otolemur_garnettii","Herbivore","otolemur_garnettii","Otolemur garnettii",592.15,25560,811.17,584.4,6480,731.33,600,7300,1300,600,1300,7300,0.0821917808219178,6679.5,-0.226738845,0.162246761
"25",25,25,"micMur3","vs_micMur3","Mouse Lemur","microcebus_murinus","Omnivore","microcebus_murinus","Microcebus murinus",355.53,1080,69,387,5580,71,243,6643,64.8,243,64.8,6643,0.0365798584976667,NA,NA,NA
"26",26,26,"proCoq1","vs_proCoq1","Sifakas","propithecus_coquereli","Herbivore","propithecus_coquereli","Propithecus coquereli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,27,"galVar1",NA,"Sunda flying lemur","galeopterus_variegatus","Herbivore","galeopterus_variegatus","Galeopterus variegatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,28,"tupChi1","vs_tupChi1","Chinese tree shrew","tupaia_chinensis","Ambiguous","tupaia_chinensis","Tupaia chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4051.5,-0.998477173,0.118434339
"29",29,29,"jacJac1","vs_jacJac1","Lesser Egyptian jerboa","jaculus_jaculus","Herbivore","jaculus_jaculus","Jaculus jaculus",240.52,NA,59.8,322.2,2250,55,327,2664.5,55,327,55,2664.5,0.122724713829987,2664.5,-1.591306439,0.027656436
"30",30,30,"micOch1","vs_micOch1","Prairie vole","microtus_ochrogaster","Herbivore","microtus_ochrogaster","Microtus ochrogaster",36.19,NA,42.5,46.8,1050,40,47,1934.5,40,47,40,1934.5,0.0242956836391832,1934.5,-1.914364112,-0.171557637
"31",31,31,"criGri1","vs_HLcriGri3","Chinese hamster","cricetulus_griseus","Herbivore","cricetulus_griseus","Cricetulus griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.5,-1.929523359,-0.156398389
"32",32,32,"mesAur1","vs_mesAur1","Golden hamster","mesocricetus_auratus","Omnivore","mesocricetus_auratus","Mesocricetus auratus",50.97,NA,98.6,46.2,1080,105,48,1423.5,105,48,105,1423.5,0.0337197049525817,1423.5,-1.9768849,-0.609389126
"33",33,33,"perManBai1","vs_HLperManBai2","Deer mouse","peromyscus_maniculatus_bairdii","Omnivore","peromyscus_maniculatus","Peromyscus maniculatus",48.05,NA,19.98,77.4,3000,20.5,49,3029.5,20.5,49,20.5,3029.5,0.0161742861858392,NA,NA,NA
"34",34,34,"mm10","vs_HLammLer1","Aoudad","ammotragus_lervia","Herbivore","ammotragus_lervia","Ammotragus lervia",507.09,1080,94202.22,446.7,7530,55500,335,7920.5,92500,335,92500,7920.5,0.042295309639543,1460,-2.273868258,-0.271106215
"35",35,35,"HLmusCar1","vs_HLmusCar1","Ryukyu mouse","mus_caroli","Generalist","mus_caroli","Mus caroli",NA,NA,NA,NA,NA,11.25,53,NA,11.2,53,11.2,NA,NA,NA,NA,NA
"36",36,36,"HLmusPah1","vs_HLmusPah1","Gairdner's shrewmouse","mus_pahari","Generalist","mus_pahari","Mus pahari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,37,"rn6","vs_HLratNor7","Rat","rattus_norvegicus","Generalist","rattus_norvegicus","Rattus norvegicus",55.23,NA,282.89,66.6,NA,280,90,1387,300,90,300,1387,0.0648882480173035,NA,NA,NA
"38",38,38,"HLmerUng1","vs_HLmerUng1","Jird","meriones_unguiculatus","Herbivore","meriones_unguiculatus","Meriones unguiculatus",56.5,12240,57.75,79.2,720,53.2,43,2299.5,53.2,43,53.2,2299.5,0.0186997173298543,NA,NA,NA
"39",39,39,"nanGal1","vs_nanGal1","Mediterranean Blind Mole-rats","nannospalax_galili","Herbivore","nannospalax_galili","Nannospalax galili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,40,"HLcasCan1","vs_HLcasCan3","Beaver","castor_canadensis","Herbivore","castor_canadensis","Castor canadensis",663.02,NA,18124.41,648,NA,19606.67,639,8541,20250,639,20250,8541,0.0748155953635406,NA,NA,NA
"41",41,41,"HLdipOrd2","vs_dipOrd2","Ord Kangaroo Rat","dipodomys_ordii","Insectivore/herbivore","dipodomys_ordii","Dipodomys ordii",86.77,NA,50.4,77.7,3540,54.5,61,3613.5,57,61,57,3613.5,0.0168811401688114,NA,NA,NA
"42",42,42,"hetGla2","vs_hetGla2","Naked mole-rat","heterocephalus_glaber","Herbivore","heterocephalus_glaber","Heterocephalus glaber",NA,NA,NA,225,5760,35,228,11315,35,228,35,11315,0.0201502430402121,11315,-0.499710445,1.295025108
"43",43,43,"HLfukDam1","vs_HLfukDam2","Damara mole rat","fukomys_damarensis","Insectivore/Herbivore","fukomys_damarensis","Fukomys damarensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,44,"cavPor3","vs_cavPor3","Domestic guinea pig","cavia_porcellus","Herbivore","cavia_porcellus","Cavia porcellus",68.59,NA,727.99,67.5,NA,728,66,4380,728,66,728,4380,0.0150684931506849,4380,-0.683669949,-0.069198494
"45",45,45,"chiLan1","vs_chiLan1","Chinchilla","chinchilla_lanigera","Herbivore","chinchilla_lanigera","Chinchilla lanigera",222.33,6480,480.28,193.5,NA,642.5,240,6278,642.5,240,642.5,6278,0.0382287352660083,6278,-0.414336444,0.248720735
"46",46,46,"octDeg1","vs_octDeg1","Brush-tailed rat","octodon_degus","Herbivore","octodon_degus","Octodon degus",187.19,NA,203.27,327,2550,235,182,5110,235,182,235,5110,0.0356164383561644,5110,-0.777803382,0.276392496
