"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"MS4A12",55,0.205440886879148,0.907410255334815,NA,4691,14806,NA,0.313025490457761,0.91383779780274,NA,0.289407119501511,0.913443148867913,NA
"XYLT2",56,0.116903201246714,0.235631415143976,0.84286,3217,5340,11733,0.214667022554384,0.329588939637082,0.843444508338125,0.198469985810352,0.329446603738664,0.843372627947096
"FTSJ1",57,0.428164315006603,0.0694867913264109,0.78444,6712,2046,10910,0.447884692379554,0.126280706085668,0.78421506612996,0.414090937133691,0.126226170645937,0.78421506612996
"SCTR",58,0.884308530104961,0.877193522803397,0.17095,12275,14414,2476,0.819097824636327,0.889643253919269,0.177975848188614,0.757295329755074,0.889259053612191,0.177975848188614
"RALBP1",59,0.587788607391425,0.518653114530691,0.25989,7926,9609,3707,0.528893634058455,0.593074929021108,0.266532489936745,0.488987599481769,0.592818804367944,0.266460609545716
"SYT13",60,0.468734294227455,0.143044216643136,0.14466,7023,3655,2102,0.468637394901908,0.225589433403284,0.151092581943646,0.433277808624838,0.225492010611389,0.151092581943646
"SNAI2",61,0.340429575552807,0.380780757505296,0.79243,6014,7599,11015,0.401307887361537,0.469016170843106,0.791762507188039,0.371028440989574,0.468813622061818,0.791762507188039
"SLC7A9",62,0.610763212987108,0.000913680339102627,0.001,8131,61,52,0.542573068196984,0.00376496728798914,0.00373778033352501,0.501634894194583,0.003763341353569,0.00373778033352501
"RTF2",63,0.178768182214093,0.969911556574818,0.55425,4305,15735,7743,0.287268116909115,0.971176397975559,0.556569867740081,0.265593188969091,0.970756986859152,0.556569867740081
"RB1CC1",64,0.958126520681265,0.556005544413384,0.50865,14018,10108,7129,0.935406379287335,0.623873595852364,0.512435307648074,0.864828181874267,0.623604170522549,0.512435307648074
"AKAP11",65,0.783103186142458,0.0757202042585991,0.90226,10205,2170,12570,0.68096890431069,0.133934082212073,0.903536515238643,0.629588500215929,0.133876241594176,0.903536515238643
"B4GALT7",66,0.131285930408472,0.442122946614492,0.34735,3536,8472,4902,0.235953556652876,0.522898407604,0.352357676825762,0.218150410265902,0.522672589302239,0.352357676825762
"FAM13B",67,0.930464250048512,0.372941244458387,0.47529,13398,7482,6653,0.894034432136661,0.461794840143192,0.478220241518114,0.826577827133074,0.461595409957431,0.478220241518114
"CHPF2",68,0.566960462182911,0.025653800226171,0.74139,7773,887,10340,0.518684105164821,0.0547463276138748,0.743243243243243,0.479548399037572,0.0547226849281263,0.743243243243243
"GABARAPL2",69,NA,0.0504532912889239,NA,14992,1604,NA,NA,0.0990001234415504,NA,0.924918255290271,0.0989573693626997,NA
"MYOC",70,0.311400422237861,0.0816819571865443,0.91603,5776,2294,12766,0.38542639797144,0.141587458338477,0.917625071880391,0.3563452402986,0.141526312542415,0.917625071880391
"FAM136A",71,0.188398241560052,0.029398015551649,0.94133,4445,994,13104,0.296610169491525,0.0613504505616591,0.941920644048304,0.274230365846135,0.0613239558270097,0.941920644048304
"NSMAF",72,0.847043468716745,0.255979866836962,0.91771,11396,5679,12796,0.760443080208194,0.350512282434267,0.919781483611271,0.70306619779135,0.350360910605219,0.919781483611271
"OTC",73,0.977896439055157,0.274037959534462,0.63399,14489,5960,8837,0.966835713332444,0.367855820269103,0.635278895917194,0.893886112653464,0.367696958479857,0.635207015526164
"TTC17",74,0.129168972929834,0.426767158773231,0.9647,3495,8259,13416,0.23321766982517,0.509751882483644,0.964347326049454,0.215620951323339,0.509531741625023,0.964347326049454
"HOXC8",75,NA,0.458408723359967,NA,14993,8725,NA,NA,0.538513763732873,NA,0.924979949410821,0.538281201801468,NA
"MRI1",76,0.580376064912147,0.972723234822887,0.34325,7877,15773,4841,0.525623915654611,0.97352178743365,0.347972972972973,0.485964587574804,0.973101363440064,0.347972972972973
"TARBP1",77,0.687864759623997,0.661367530242459,0.39267,8882,11477,5525,0.592686507406913,0.708369337118874,0.397139160437033,0.547967178727867,0.708063421555926,0.397139160437033
"RTN4R",78,0.017970181715659,0.886702595401238,0.51576,426,14532,7234,0.028426531429334,0.896926305394396,0.519982748706153,0.0262816953544327,0.896538959837128,0.519982748706153
"PSMA4",79,NA,0.478574418465586,NA,14994,9023,NA,NA,0.556906554746328,NA,0.925041643531371,0.556666049725461,NA
"ZPBP",80,0.26588574791639,0.517959567747697,0.9539,5347,9596,13273,0.356799679701054,0.59227255894334,0.95406843013226,0.329878462582516,0.59201678080079,0.95406843013226
"LCP2",81,0.813841640895034,0.441495192343061,0.95727,10743,8464,13308,0.716869077805952,0.522404641402296,0.956584243818286,0.662779937071997,0.522179036337837,0.956584243818286
"DCN",82,0.169798721288184,0.668183744252107,0.3491,4169,11562,4930,0.278192980114774,0.713615603011974,0.354370327774583,0.257202788574249,0.713307421802702,0.354370327774583
"TNFRSF17",83,0.885920013880455,0.406933874771962,0.38339,12324,7979,5417,0.822367543040171,0.492470065424022,0.389376078205865,0.76031834166204,0.492257387870936,0.389376078205865
"MRPS10",84,0.880173247185881,0.203605221355066,0.84274,12160,4787,11729,0.811423995729347,0.295457350944328,0.843085106382979,0.750200505891789,0.295329755074341,0.843085106382979
"GRN",85,0.725439851416811,0.968737993938273,0.32938,9359,15715,4667,0.624516215134125,0.9699419824713,0.33546578493387,0.577395274230366,0.969523104448146,0.33546578493387
"THAP3",86,0.799205784382672,0.716407964639641,0.55479,10472,12170,7753,0.698785533164287,0.751141834341439,0.557288671650374,0.646060830402863,0.750817447097292,0.557288671650374
"VAMP3",87,0.19085043283963,0.122710338404222,0.85895,4487,3234,11969,0.299412785266248,0.199604987038637,0.860336400230017,0.276821518909248,0.199518785859708,0.860336400230017
"RCN1",88,0.738330524066056,0.826073428749222,0.37169,9508,13706,5265,0.63445882823969,0.84594494506851,0.378450258769408,0.586587698192362,0.84557961626257,0.378450258769408
