"","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty"
"47",47,"speTri2","vs_speTri2","Ground Squirrel ","ictidomys_tridecemlineatus","Omnivore","ictidomys_tridecemlineatus","Ictidomys tridecemlineatus"
"48",48,"HLmarMar1","vs_HLmarMar1","Marmot","marmota_marmota_marmota","Insectivore/herbivore","marmota_marmota","Marmota marmota"
"49",49,"oryCun2","vs_HLoryCunCun4","Rabbit","oryctolagus_cuniculus","Herbivore","oryctolagus_cuniculus","Oryctolagus cuniculus"
"50",50,"ochPri3","vs_ochPri3","Pika","ochotona_princeps","Herbivore","ochotona_princeps","Ochotona princeps"
"51",51,"vicPac2","vs_vicPac2","Alpaca","vicugna_pacos","Herbivore","vicugna_pacos","Vicugna pacos"
"52",52,"HLcamFer2","vs_HLcamFer3","Ferus Camel","camelus_ferus","Omnivore","camelus_ferus","Camelus ferus"
"53",53,"HLcamBac1","vs_HLcamBac1","Bactrian Camel","camelus_bactrianus","Omnivore","camelus_bactrianus","Camelus bactrianus"
"54",54,"HLcamDro1","vs_HLcamDro2","One-hump Camel","camelus_dromedarius","Omnivore","camelus_dromedarius","Camelus dromedarius"
"55",55,"HLturTru3","vs_HLturTru4","Bottle-nose Dolphin","tursiops_truncatus","Piscivore","tursiops_truncatus","Tursiops truncatus"
"56",56,"HLorcOrc1","vs_orcOrc1","Killer whale","orcinus_orca","Carnivore/Piscivore","orcinus_orca","Orcinus orca"
"57",57,"HLdelLeu1","vs_HLdelLeu2","Beluga Whale","delphinapterus_leucas","Piscivore","delphinapterus_leucas","Delphinapterus leucas"
"58",58,"lipVex1","vs_lipVex1","Chinese River Dolphin","lipotes_vexillifer","Piscivore","lipotes_vexillifer","Lipotes vexillifer"
"59",59,"phyCat1",NA,"Sperm whale","physeter_catodon","Piscivore","physeter_catodon","Physeter catodon"
"60",60,"balAcu1","vs_balAcu1","Minke Whale","balaenoptera_acutorostrata_scammoni","Carnivore/Planktivore","balaenoptera_acutorostrata","Balaenoptera acutorostrata"
"61",61,"HLbalMys1",NA,"Bowhead whale","balaena_mysticetus","Planktivore","balaena_mysticetus","Balaena mysticetus"
"62",62,"bosTau8","vs_bosTau9","Cow","bos_taurus","Herbivore","bos_taurus","Bos taurus"
"63",63,"HLbosInd1","vs_HLbosInd2","Zebu","bos_indicus","Herbivore","bos_indicus","Bos indicus"
"64",64,"bisBis1","vs_bisBis1","American Bison","bison_bison_bison","Herbivore","bison_bison","Bison bison"
"65",65,"bosMut1","vs_HLbosMut2","Yak","bos_mutus","Herbivore","bos_mutus","Bos mutus"
"66",66,"bubBub1","vs_HLbubBub2","Asian Water Buffalo","bubalus_bubalis","Herbivore","bubalus_bubalis","Bubalus bubalis"
"67",67,"HLoviAri4","vs_HLoviAri5","Domestic sheep","ovis_aries","Herbivore","ovis_aries","Ovis aries"
"68",68,"HLoviCan1","vs_HLoviCan1","Bighorn sheep","ovis_canadensis","Herbivore","ovis_canadensis","Ovis canadensis"
"69",69,"HLcapHir2","vs_HLcapHir2","Domestic goat","capra_hircus","Herbivore","capra_hircus","Capra hircus"
"70",70,"panHod1","vs_panHod1","Tibetan antelope","pantholops_hodgsonii","Herbivore","pantholops_hodgsonii","Pantholops hodgsonii"
"71",71,"HLodoVir1","vs_HLodoVir3","White-tailed Deer","odocoileus_virginianus","Herbivore","odocoileus_virginianus","Odocoileus virginianus"
"72",72,"HLcerEla1",NA,NA,"cervus_elaphus_hippelaphus",NA,"cervus_elaphus","Cervus elaphus"
"73",73,"susScr11","vs_susScr11","Pig","sus_scrofa","Generalist","sus_scrofa","Sus scrofa"
"74",74,"HLequCab3","vs_equCab3","Horse","equus_caballus","Herbivore","equus_caballus","Equus caballus"
"75",75,"equPrz1","vs_equPrz1","Przewalskii Horse","equus_przewalskii","Herbivore","equus_przewalskii","Equus przewalskii"
"76",76,"HLequAsi1","vs_HLequAsiAsi2","Wild Donkey","equus_asinus","Herbivore","equus_asinus","Equus asinus"
"77",77,"cerSim1","vs_HLcerSimCot1","White rhinoceros (Chad)","ceratotherium_simum_cottoni","Herbivore","ceratotherium_simum","Ceratotherium simum"
